Outside of a dog, a book is man's best friend.	0 0 0 0 0 0 0 1 1 1	man's best friend	figurative	dashes	ADP ADP DET NOUN DET NOUN VERB NOUN ADJ NOUN
MAN 'S best friend is on occasion woman's worst enemy.	1 1 1 1 0 0 0 0 0 0	man's best friend	figurative	misc	PROPN PART ADJ NOUN VERB ADP NOUN NOUN ADJ NOUN
Then maybe Rover will become man's best friend once again.	0 0 0 0 0 1 1 1 0 0	man's best friend	figurative	dashes	ADV ADV PROPN VERB VERB NOUN ADJ NOUN ADV ADV
A dog is man's best friend ) and cod definitions ( CRAYFISH : Female of the lobster ).	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	man's best friend	figurative	dashes	DET NOUN VERB NOUN ADJ NOUN PUNCT CCONJ NOUN NOUN PUNCT NOUN PUNCT NOUN ADP DET NOUN PUNCT
What turns man's best friend into a dangerous renegade?	0 0 1 1 1 0 0 0 0	man's best friend	figurative	dashes	NOUN VERB NOUN ADJ NOUN ADP DET ADJ NOUN
And when at rest, does man's best friend lie in contemplation of his next act, or of the possible menus for his next meal?	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	man's best friend	figurative	dashes	CCONJ ADV ADP NOUN VERB VERB ADJ NOUN NOUN ADP NOUN ADP ADJ ADJ NOUN CCONJ ADP DET ADJ NOUN ADP ADJ ADJ NOUN
Nearly all the canine members of the police dog section are former unwanted pets donated by families who for a variety of reasons found the could no longer offer a home to man's best friend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	man's best friend	figurative	dashes	ADV ADJ DET NOUN NOUN ADP DET NOUN NOUN NOUN VERB ADJ ADJ NOUN VERB ADP NOUN NOUN ADP DET NOUN ADP NOUN VERB DET VERB ADV ADV VERB DET NOUN PART NOUN ADJ NOUN
At some point during this soliloquy I look down and notice man's best friend humbly licking my shoe.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	man's best friend	figurative	dashes	ADP DET NOUN ADP DET NOUN PRON VERB PART CCONJ NOUN NOUN ADJ NOUN ADV VERB ADJ NOUN
Throttling the yapping beast is likely to be the more ready response but that would show a shocking lack of sympathy for man's best friend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	man's best friend	figurative	dashes	VERB DET VERB NOUN VERB ADJ PART VERB DET ADV ADJ NOUN CCONJ DET VERB VERB DET ADJ NOUN ADP NOUN ADP NOUN ADJ NOUN
‘ They say a dog is man's best friend, but they 've got it wrong.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	man's best friend	figurative	dashes	PUNCT PRON VERB DET NOUN VERB NOUN ADJ NOUN CCONJ PRON VERB VERB PRON ADJ
The pack contains maps showing where the four dog control byelaws exist and offers sound advice about owning man's best friend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	man's best friend	figurative	dashes	DET NOUN VERB NOUN VERB ADV DET NUM NOUN NOUN NOUN VERB CCONJ VERB ADJ NOUN ADP VERB NOUN ADJ NOUN
