As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN
A crisp sports bag with the tour dates and band logo printed all over it catches my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET ADJ NOUN NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN VERB ADV ADP PRON VERB ADJ NOUN
Therese was a good half - head taller than Freddi and when Busacher caught her eye, she winked at him.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB DET ADJ ADJ PUNCT NOUN ADJ ADP PROPN CCONJ ADV PROPN VERB ADJ NOUN PRON VERB ADP PRON
Anyone who wishes to contribute must catch the Chairman's eye and the usual practice then is for the Chairman to call on the persons in the order in which he has seen them.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	NOUN NOUN VERB PART VERB VERB VERB DET PROPN NOUN CCONJ DET ADJ NOUN ADV VERB ADP DET PROPN PART VERB ADP DET NOUN ADP DET NOUN ADP ADJ PRON VERB VERB PRON
Bill had the opportunity to sit face to face with them and you catch his eye, you you used to er time to er use, use hand gestures and show things to them on, on presenters.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	PROPN VERB DET NOUN PART VERB NOUN PART VERB ADP PRON CCONJ PRON VERB ADJ NOUN PRON PRON VERB ADP INTJ NOUN ADP INTJ NOUN VERB NOUN NOUN CCONJ VERB NOUN ADP PRON PART ADP NOUN
Even as she was considering how to get herself free, a movement below caught her eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADV ADP PRON VERB VERB ADV PART VERB PRON ADJ DET NOUN ADP VERB ADJ NOUN
Besides, ' — I caught Richard's eye —'the Hobbs are staying there. '	0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV PUNCT PUNCT PRON VERB PROPN NOUN DET PROPN VERB VERB ADV PUNCT
Riven caught his eye.	0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN VERB ADJ NOUN
Florrie caught Nellie's eye and pulled a face.	0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB PROPN NOUN CCONJ VERB DET NOUN
By 1969 Laura was spending much of her time poring over old books — the endpapers of novels were a rich source of small prints as were old plates, teapots, and patchwork quilts, in fact anything that caught her eye in a variety of odd shops.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP NUM PROPN VERB VERB ADJ ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT DET NOUN ADP NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADP VERB ADJ NOUN NOUN CCONJ NOUN NOUN ADP NOUN NOUN ADJ VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN
He looked up and caught Bob's eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PART CCONJ VERB PROPN NOUN
Ursula turned away and instantly caught Charlotte's eye.	0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN VERB ADV CCONJ ADV VERB PROPN NOUN
But a large plate of bread slices, nearly invisible beneath a glossy coating of dark red jam, caught my eye as I walked past their stall.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ DET ADJ NOUN ADP NOUN NOUN ADV ADJ ADP DET ADJ NOUN ADP ADJ ADJ NOUN VERB ADJ NOUN ADP PRON VERB ADP ADJ NOUN
She caught the barman's eye and beamed contentedly at his hot red face as he sipped iced water, taking a brief rest.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB DET NOUN NOUN CCONJ VERB ADV ADP ADJ ADJ ADJ NOUN ADP PRON VERB ADJ NOUN VERB DET ADJ NOUN
This was an ingenious wheelchair attached to the front of a bicycle ; and lastly as I left, I had a word with Stefan Sielaff from Germany, who had designed a fantastic three - wheeled single seater vehicle in fibreglass, that was catching everyone's eye!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET VERB DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT CCONJ ADV ADP PRON VERB PRON VERB DET NOUN ADP PROPN PROPN ADP PROPN NOUN VERB VERB DET ADJ NUM PUNCT ADJ ADJ NOUN NOUN ADP NOUN ADJ VERB VERB NOUN NOUN
Above us, on a ledge, the conspicuous white breast feathers of a male peregrine caught John's eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON ADP DET NOUN DET ADJ ADJ NOUN NOUN ADP DET ADJ NOUN VERB PROPN NOUN
Tom caught my eye behind her back and winked to acknowledge my presence on alien territory.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN ADP ADJ ADV CCONJ VERB PART VERB ADJ NOUN ADP ADJ NOUN
They kept their heads down in their books though they had long ceased to study, unwilling to catch his eye or even to breathe loudly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	possessive	PRON VERB ADJ NOUN PART ADP ADJ NOUN ADP PRON VERB ADV VERB PART VERB ADJ PART VERB ADJ NOUN CCONJ ADV PART VERB ADV
He thought he would do me a service by telling me that the Ice Princess who had caught my eye was right here, in Roma.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PRON VERB VERB PRON DET NOUN ADP VERB PRON ADP DET PROPN PROPN NOUN VERB VERB ADJ NOUN VERB ADV ADV ADP ADJ
A pile of comics caught Willie's eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET NOUN ADP NOUN VERB PROPN NOUN
We had gone about a hundred yards when one particular house caught my eye.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB VERB ADP DET NUM NOUN ADV NUM ADJ NOUN VERB ADJ NOUN
And then the doctor caught her eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	CCONJ ADV DET NOUN VERB ADJ NOUN
David Beaton caught Eachuinn Odhar's eye, frowned, set a finger to his lips and shook his head.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN PROPN VERB PROPN PROPN NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB ADJ NOUN
