‘ He dropped right out of sight then.	0 0 0 0 1 1 1 0	out of sight	figurative	identical	PUNCT PRON VERB ADV ADP ADP NOUN ADV
‘ Again, in the event that planning permission is granted, they have indicated their intention of tunnelling into the mountain from behind, at a point which is uninhabited and out of sight from the road at least’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	out of sight	literal	identical	PUNCT ADV ADP DET NOUN ADP NOUN NOUN VERB VERB PRON VERB VERB ADJ NOUN ADP NOUN ADP DET NOUN ADP ADV ADP DET NOUN ADJ VERB VERB CCONJ ADP ADP NOUN ADP DET NOUN ADP NOUN
The whole scheme would involve the placing of a ‘ solar sail, 10 kilometres by 5 kilometres in size, in geostationary orbit 23,000 miles out from the earth where the sun would never be out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	DET ADJ NOUN VERB VERB DET NOUN ADP DET PUNCT ADJ NOUN NUM NOUN ADP NUM NOUN ADP NOUN ADP ADJ NOUN NUM NOUN PART ADP DET NOUN ADV DET NOUN VERB ADV VERB ADP ADP NOUN
Out of sight, the Nez Perces milled their ponies to confuse their trail, then doubled north once more, concealed by the timbered mountain slopes.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	case	ADP ADP NOUN DET PROPN PROPN VERB ADJ NOUN PART VERB ADJ NOUN ADV VERB ADV ADV ADV VERB ADP DET ADJ NOUN NOUN
The Land Rover cruised out of sight at two o'clock.	0 0 0 0 1 1 1 0 0 0	out of sight	literal	identical	DET PROPN PROPN VERB ADP ADP NOUN ADP NUM NOUN
When the carriage was out of sight, she sank down into a chair and put her hands over her face.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of sight	literal	identical	ADV DET NOUN VERB ADP ADP NOUN PRON VERB PART ADP DET NOUN CCONJ VERB ADJ NOUN ADP ADJ NOUN
Then he ducked into the loose - box out of sight.	0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	ADV PRON VERB ADP DET ADJ PUNCT NOUN ADP ADP NOUN
With that, he swung away and strode quickly out of sight, the thin fellow hurrying beside him.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	out of sight	literal	identical	ADP DET PRON VERB ADV CCONJ VERB ADV ADP ADP NOUN DET ADJ ADJ NOUN ADP PRON
I stand out of sight.	0 0 1 1 1	out of sight	literal	identical	PRON VERB ADP ADP NOUN
He looked back and listened to the pounding on the door, until the lock - up was out of sight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of sight	literal	identical	PRON VERB ADV CCONJ VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT NOUN VERB ADP ADP NOUN
Once I 'm across the drawbridge and out of sight I 'll circle around and pick you up.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of sight	literal	identical	ADP PRON VERB ADP DET NOUN CCONJ ADP ADP NOUN PRON VERB VERB ADV CCONJ VERB PRON PART
