Kill two birds with one stone, Dominic lad.	1 1 1 1 1 1 0 0	kill two birds with one stone	figurative	case	VERB NUM NOUN ADP NUM NOUN ADJ NOUN
By promoting these new investors, Mr Alphandéry could kill two birds with one stone.	0 0 0 0 0 0 0 0 1 1 1 1 1 1	kill two birds with one stone	figurative	identical	ADP VERB DET ADJ NOUN PROPN PROPN VERB VERB NUM NOUN ADP NUM NOUN
That proposal may be a way to kill two birds with one stone, but we also have to be careful not to get greedy and spoil everything.	0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	identical	DET NOUN VERB VERB DET NOUN PART VERB NUM NOUN ADP NUM NOUN CCONJ PRON ADV VERB PART VERB ADJ ADV PART VERB ADJ CCONJ ADJ NOUN
She killed two birds with one stone and offered apologetically, ‘ I really was terribly thirsty.’	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	inflection	PRON VERB NUM NOUN ADP NUM NOUN CCONJ VERB ADV PUNCT PRON ADV VERB ADV NOUN
But I thought well, While I I 'll ma kill two birds with one stone, and I 'll er come	0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0	kill two birds with one stone	figurative	identical	CCONJ PRON VERB ADV ADP PRON PRON VERB ADV VERB NUM NOUN ADP NUM NOUN CCONJ PRON VERB INTJ VERB
Ceauşescu's policy killed two birds with one stone : on the one hand, he began the process of ridding Romania of what he considered troublesome alien minorities and earned hard currency from their new countries for the privilege ; and at the same time, he gained a reputation in the West as a ‘ good’ communist, a man to do business with — in this case, by bartering for human beings.	0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	inflection	PROPN NOUN VERB NUM NOUN ADP NUM NOUN PUNCT ADP DET NUM NOUN PRON VERB DET NOUN ADP VERB PROPN ADP NOUN PRON VERB ADJ ADJ NOUN CCONJ VERB ADJ NOUN ADP ADJ ADJ NOUN ADP DET NOUN PUNCT CCONJ ADP DET ADJ NOUN PRON VERB DET NOUN ADP DET PROPN ADP DET PUNCT NOUN NOUN DET NOUN PART VERB NOUN ADP PUNCT ADP DET NOUN ADP VERB ADP ADJ NOUN
If you paint it yellow, you 'll kill two birds with one stone : it 'll stand out, and you 'll save money because you can use paint you already have.	0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	identical	ADP PRON VERB PRON ADJ PRON VERB VERB NUM NOUN ADP NUM NOUN PUNCT PRON VERB VERB PART CCONJ PRON VERB VERB NOUN ADP PRON VERB VERB NOUN PRON ADV VERB
To Henry it may well have seemed a sensible way of killing two birds with one stone — chastising rebels and at the same time providing his warlike second son with useful experience.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	inflection	ADP PROPN PRON VERB ADV VERB VERB DET ADJ NOUN ADP VERB NUM NOUN ADP NUM NOUN PUNCT VERB NOUN CCONJ ADP DET ADJ NOUN VERB ADJ ADJ ADJ NOUN ADP ADJ NOUN
‘ If you agree, Kate, it 'll mean killing two birds with one stone.’	0 0 0 0 0 0 0 0 1 1 1 1 1 1	kill two birds with one stone	figurative	combined-inflection	PUNCT ADP PRON VERB PROPN PRON VERB VERB VERB NUM NOUN ADP NUM PUNCT
Killed two birds with one stone. '	1 1 1 1 1 1 0	kill two birds with one stone	figurative	combined-inflection	VERB NUM NOUN ADP NUM NOUN PUNCT
Since in your life and work you are going to do things anyway, you might as well kill two birds with one stone by doing and learning in parallel.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0	kill two birds with one stone	figurative	identical	ADP ADP ADJ NOUN CCONJ NOUN PRON VERB VERB PART VERB NOUN ADV PRON VERB ADV ADV VERB NUM NOUN ADP NUM NOUN ADP VERB CCONJ VERB ADP NOUN
It's like killing two birds with one stone.	0 0 1 1 1 1 1 1	kill two birds with one stone	figurative	inflection	PRON ADP VERB NUM NOUN ADP NUM NOUN
Well — kill two birds with one stone.	0 0 1 1 1 1 1 1	kill two birds with one stone	figurative	identical	INTJ PUNCT VERB NUM NOUN ADP NUM NOUN
‘ Well, when — and if — we ever raise that hull, we should be able to kill two birds with one stone : to determine the causes of both the explosions and this man's death.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	identical	PUNCT INTJ ADV PUNCT CCONJ ADP PUNCT PRON ADV VERB DET NOUN PRON VERB VERB ADJ PART VERB NUM NOUN ADP NUM NOUN PUNCT PART VERB DET NOUN ADP CCONJ DET NOUN CCONJ DET NOUN NOUN
‘ It is a case of killing two birds with one stone, with the added advantage of the contractor providing unified management for the entire chain of planning, acquisition and processing,’ he said.	0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	inflection	PUNCT PRON VERB DET NOUN ADP VERB NUM NOUN ADP NUM NOUN ADP DET VERB NOUN ADP DET NOUN VERB ADJ NOUN ADP DET ADJ NOUN ADP NOUN NOUN CCONJ PROPN PRON VERB
She was killing two birds with one stone, she thought cheerfully : she really did feel sorry for Veronica, and keeping in touch was the only way she 'd find out more about the woman's relationship with her husband.	0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	inflection	PRON VERB VERB NUM NOUN ADP NUM NOUN PRON VERB ADV PUNCT PRON ADV VERB VERB ADJ ADP PROPN CCONJ VERB ADP NOUN VERB DET ADJ NOUN PRON VERB VERB PART ADJ ADP DET NOUN NOUN ADP ADJ NOUN
Nevertheless its greater flexibility ensured the eventual triumph of the head - type and many railway companies killed two birds with one stone by building a hotel to serve as station frontage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	kill two birds with one stone	figurative	inflection	ADV ADJ ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN CCONJ ADJ NOUN NOUN VERB NUM NOUN ADP NUM NOUN ADP VERB DET NOUN PART VERB ADP NOUN NOUN
You could consider the wide variety of third - party alternatives or kill two birds with one stone and wait for MS - DOS 6.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0	kill two birds with one stone	figurative	identical	PRON VERB VERB DET ADJ NOUN ADP ADJ PUNCT NOUN NOUN CCONJ VERB NUM NOUN ADP NUM NOUN CCONJ VERB ADP PROPN PUNCT PROPN NUM
