As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN	▁As ▁Cr illy ▁is ▁taken ▁back ▁into ▁the ▁cells , ▁he ▁catches ▁my ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PROPN PROPN VERB VERB ADV ADP DET NOUN NOUN PRON VERB ADJ NOUN NOUN
A crisp sports bag with the tour dates and band logo printed all over it catches my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET ADJ NOUN NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN VERB ADV ADP PRON VERB ADJ NOUN	▁A ▁cri sp ▁sports ▁bag ▁with ▁the ▁to ur ▁dates ▁and ▁band ▁logo ▁printed ▁all ▁over ▁it ▁catches ▁my ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET ADJ ADJ NOUN NOUN ADP DET NOUN NOUN NOUN CCONJ NOUN NOUN VERB ADV ADP PRON VERB ADJ NOUN NOUN
Therese was a good half - head taller than Freddi and when Busacher caught her eye, she winked at him.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB DET ADJ ADJ PUNCT NOUN ADJ ADP PROPN CCONJ ADV PROPN VERB ADJ NOUN PRON VERB ADP PRON	▁There se ▁was ▁a ▁good ▁half ▁- ▁head ▁tall er ▁than ▁Fred di ▁and ▁when ▁Bus ach er ▁caught ▁her ▁eye , ▁she ▁win ked ▁at ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	PROPN PROPN VERB DET ADJ ADJ PUNCT NOUN ADJ ADJ ADP PROPN PROPN CCONJ ADV PROPN PROPN PROPN VERB ADJ NOUN NOUN PRON VERB VERB ADP PRON PRON
Anyone who wishes to contribute must catch the Chairman's eye and the usual practice then is for the Chairman to call on the persons in the order in which he has seen them.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	NOUN NOUN VERB PART VERB VERB VERB DET PROPN NOUN CCONJ DET ADJ NOUN ADV VERB ADP DET PROPN PART VERB ADP DET NOUN ADP DET NOUN ADP ADJ PRON VERB VERB PRON	▁Any one ▁who ▁wishes ▁to ▁contribute ▁must ▁catch ▁the ▁Chairman ' s ▁eye ▁and ▁the ▁usual ▁practice ▁then ▁is ▁for ▁the ▁Chairman ▁to ▁call ▁on ▁the ▁persons ▁in ▁the ▁order ▁in ▁which ▁he ▁has ▁seen ▁them .	0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB PART VERB VERB VERB DET PROPN PROPN PROPN NOUN CCONJ DET ADJ NOUN ADV VERB ADP DET PROPN PART VERB ADP DET NOUN ADP DET NOUN ADP ADJ PRON VERB VERB PRON PRON
Bill had the opportunity to sit face to face with them and you catch his eye, you you used to er time to er use, use hand gestures and show things to them on, on presenters.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	PROPN VERB DET NOUN PART VERB NOUN PART VERB ADP PRON CCONJ PRON VERB ADJ NOUN PRON PRON VERB ADP INTJ NOUN ADP INTJ NOUN VERB NOUN NOUN CCONJ VERB NOUN ADP PRON PART ADP NOUN	▁Bill ▁had ▁the ▁opportunity ▁to ▁sit ▁face ▁to ▁face ▁with ▁them ▁and ▁you ▁catch ▁his ▁eye , ▁you ▁you ▁used ▁to ▁er ▁time ▁to ▁er ▁use , ▁use ▁hand ▁gesture s ▁and ▁show ▁things ▁to ▁them ▁on , ▁on ▁present ers .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB DET NOUN PART VERB NOUN PART VERB ADP PRON CCONJ PRON VERB ADJ NOUN NOUN PRON PRON VERB ADP INTJ NOUN ADP INTJ NOUN NOUN VERB NOUN NOUN NOUN CCONJ VERB NOUN ADP PRON PART PART ADP NOUN NOUN NOUN
Even as she was considering how to get herself free, a movement below caught her eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADV ADP PRON VERB VERB ADV PART VERB PRON ADJ DET NOUN ADP VERB ADJ NOUN	▁Even ▁as ▁she ▁was ▁considering ▁how ▁to ▁get ▁herself ▁free , ▁a ▁movement ▁below ▁caught ▁her ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADP PRON VERB VERB ADV PART VERB PRON ADJ ADJ DET NOUN ADP VERB ADJ NOUN NOUN
Besides, ' — I caught Richard's eye —'the Hobbs are staying there. '	0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV PUNCT PUNCT PRON VERB PROPN NOUN DET PROPN VERB VERB ADV PUNCT	▁Besides , ▁' ▁ — ▁I ▁caught ▁Richard ' s ▁eye ▁ — ' the ▁Ho bb s ▁are ▁staying ▁there . ▁'	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PUNCT PUNCT PUNCT PRON VERB PROPN PROPN PROPN NOUN DET DET DET DET PROPN PROPN PROPN VERB VERB ADV ADV PUNCT
Riven caught his eye.	0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN VERB ADJ NOUN	▁Ri ven ▁caught ▁his ▁eye .	0 0 1 1 1 1	NOUN NOUN VERB ADJ NOUN NOUN
Florrie caught Nellie's eye and pulled a face.	0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB PROPN NOUN CCONJ VERB DET NOUN	▁F lor rie ▁caught ▁N elli e ' s ▁eye ▁and ▁pulled ▁a ▁face .	0 0 0 1 1 1 1 1 1 1 0 0 0 0 0	PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN PROPN NOUN CCONJ VERB DET NOUN NOUN
By 1969 Laura was spending much of her time poring over old books — the endpapers of novels were a rich source of small prints as were old plates, teapots, and patchwork quilts, in fact anything that caught her eye in a variety of odd shops.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP NUM PROPN VERB VERB ADJ ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT DET NOUN ADP NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADP VERB ADJ NOUN NOUN CCONJ NOUN NOUN ADP NOUN NOUN ADJ VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN	▁By ▁1969 ▁La ura ▁was ▁spending ▁much ▁of ▁her ▁time ▁por ing ▁over ▁old ▁books ▁ — ▁the ▁end paper s ▁of ▁novel s ▁were ▁a ▁rich ▁source ▁of ▁small ▁print s ▁as ▁were ▁old ▁plates , ▁tea pot s , ▁and ▁patch work ▁qui lt s , ▁in ▁fact ▁anything ▁that ▁caught ▁her ▁eye ▁in ▁a ▁variety ▁of ▁odd ▁shops .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	ADP NUM PROPN PROPN VERB VERB ADJ ADP ADJ NOUN VERB VERB ADP ADJ NOUN PUNCT PUNCT DET NOUN NOUN NOUN ADP NOUN NOUN VERB DET ADJ NOUN ADP ADJ NOUN NOUN ADP VERB ADJ NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN ADJ VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN
He looked up and caught Bob's eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PART CCONJ VERB PROPN NOUN	▁He ▁looked ▁up ▁and ▁caught ▁Bo b ' s ▁eye .	0 0 0 0 1 1 1 1 1 1 1	PRON VERB PART CCONJ VERB PROPN PROPN PROPN PROPN NOUN NOUN
