Yet of all the lame ducks I 've met or heard of, she's the lamest.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lame duck	figurative	inflection	CCONJ ADP ADJ DET ADJ NOUN PRON VERB VERB CCONJ VERB ADP PRON DET ADJ	▁Yet ▁of ▁all ▁the ▁lam e ▁ducks ▁I ▁' ve ▁met ▁or ▁heard ▁of , ▁she ' s ▁the ▁lam est .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP ADJ DET ADJ ADJ NOUN PRON VERB VERB VERB CCONJ VERB ADP ADP PRON PRON PRON DET ADJ ADJ ADJ
And, to mix a metaphor, France's lame ducks may have become an albatross around his neck.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lame duck	figurative	inflection	CCONJ PART VERB DET NOUN PROPN ADJ NOUN VERB VERB VERB DET NOUN ADP ADJ NOUN	▁And , ▁to ▁mix ▁a ▁met aph or , ▁France ' s ▁lam e ▁ducks ▁may ▁have ▁become ▁an ▁al bat ros s ▁around ▁his ▁neck .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ PART VERB DET NOUN NOUN NOUN NOUN PROPN PROPN PROPN ADJ ADJ NOUN VERB VERB VERB DET NOUN NOUN NOUN NOUN ADP ADJ NOUN NOUN
But working near the top of the BBC is said to be a nightmare, with Checkland a lame - duck, Birt not speaking out and Hussey acting like an executive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	CCONJ VERB ADP DET NOUN ADP DET PROPN VERB VERB PART VERB DET NOUN ADP PROPN DET ADJ PUNCT NOUN PROPN ADV VERB PART CCONJ PROPN VERB ADP DET NOUN	▁But ▁working ▁near ▁the ▁top ▁of ▁the ▁B BC ▁is ▁said ▁to ▁be ▁a ▁nightmare , ▁with ▁Check land ▁a ▁lam e ▁- ▁duck , ▁Bi rt ▁not ▁speaking ▁out ▁and ▁H usse y ▁acting ▁like ▁an ▁executive .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ VERB ADP DET NOUN ADP DET PROPN PROPN VERB VERB PART VERB DET NOUN NOUN ADP PROPN PROPN DET ADJ ADJ PUNCT NOUN NOUN PROPN PROPN ADV VERB PART CCONJ PROPN PROPN PROPN VERB ADP DET NOUN NOUN
Will further funds be withdrawn and the company allowed to fail with loss of jobs, or will it be supported as a ‘ lame - duck’ reintroducing many of the industrial problems of the UK of the 1970s?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	VERB ADJ NOUN VERB VERB CCONJ DET NOUN VERB PART VERB ADP NOUN ADP NOUN CCONJ VERB PRON VERB VERB ADP DET PUNCT ADJ PUNCT PROPN VERB ADJ ADP DET ADJ NOUN ADP DET PROPN ADP DET NOUN	▁Will ▁further ▁funds ▁be ▁withdrawn ▁and ▁the ▁company ▁allowed ▁to ▁fail ▁with ▁loss ▁of ▁jobs , ▁or ▁will ▁it ▁be ▁supported ▁as ▁a ▁ ‘ ▁lam e ▁- ▁duck ’ ▁rein tro ducing ▁many ▁of ▁the ▁industrial ▁problems ▁of ▁the ▁UK ▁of ▁the ▁1970 s ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN VERB VERB CCONJ DET NOUN VERB PART VERB ADP NOUN ADP NOUN NOUN CCONJ VERB PRON VERB VERB ADP DET PUNCT PUNCT ADJ ADJ PUNCT PROPN PROPN VERB VERB VERB ADJ ADP DET ADJ NOUN ADP DET PROPN ADP DET NOUN NOUN NOUN
But before we jump to the conclusion that Pound had simply had a brainstorm, or had been trapped by misplaced compassion for Dunning as a lame duck, we ought to consider another possibility — that imagism, and Pound's endorsement of Ford's insistence on ‘ the prose tradition’, had never been for him more than an aberration, though in the short term a very profitable one, from a way of feeling that impelled him always toward the cantabile, a proclivity that would, in the interests of melody, tolerate notably eccentric diction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	CCONJ ADP PRON VERB ADP DET NOUN ADP NOUN VERB ADV VERB DET NOUN CCONJ VERB VERB VERB ADP ADJ NOUN ADP VERB ADP DET ADJ NOUN PRON VERB PART VERB DET NOUN PUNCT DET NOUN CCONJ PROPN NOUN ADP PROPN NOUN ADP PUNCT DET NOUN NOUN VERB ADV VERB ADP PRON ADJ ADP DET NOUN ADP ADP DET ADJ NOUN DET ADV ADJ NUM ADP DET NOUN ADP NOUN ADJ VERB PRON ADV ADP DET NOUN DET NOUN ADJ VERB ADP DET NOUN ADP NOUN VERB ADV ADJ NOUN	▁But ▁before ▁we ▁jump ▁to ▁the ▁conclusion ▁that ▁P ound ▁had ▁simply ▁had ▁a ▁brain s tor m , ▁or ▁had ▁been ▁trapped ▁by ▁mis place d ▁compassion ▁for ▁Dunn ing ▁as ▁a ▁lam e ▁duck , ▁we ▁ought ▁to ▁consider ▁another ▁possibility ▁ — ▁that ▁i mag ism , ▁and ▁P ound ' s ▁endorsement ▁of ▁Ford ' s ▁insistence ▁on ▁ ‘ ▁the ▁pro se ▁tradition ’ , ▁had ▁never ▁been ▁for ▁him ▁more ▁than ▁an ▁aberration , ▁though ▁in ▁the ▁short ▁term ▁a ▁very ▁profitable ▁one , ▁from ▁a ▁way ▁of ▁feeling ▁that ▁imp ell ed ▁him ▁always ▁toward ▁the ▁can tabil e , ▁a ▁pro cl ivity ▁that ▁would , ▁in ▁the ▁interests ▁of ▁me l ody , ▁tolerate ▁notably ▁ec centric ▁di ction .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PRON VERB ADP DET NOUN ADP NOUN NOUN VERB ADV VERB DET NOUN NOUN NOUN NOUN NOUN CCONJ VERB VERB VERB ADP ADJ ADJ ADJ NOUN ADP VERB VERB ADP DET ADJ ADJ NOUN NOUN PRON VERB PART VERB DET NOUN PUNCT PUNCT DET NOUN NOUN NOUN NOUN CCONJ PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN PROPN NOUN ADP PUNCT PUNCT DET NOUN NOUN NOUN NOUN NOUN VERB ADV VERB ADP PRON ADJ ADP DET NOUN NOUN ADP ADP DET ADJ NOUN DET ADV ADJ NUM NUM ADP DET NOUN ADP NOUN ADJ VERB VERB VERB PRON ADV ADP DET NOUN NOUN NOUN NOUN DET NOUN NOUN NOUN ADJ VERB VERB ADP DET NOUN ADP NOUN NOUN NOUN NOUN VERB ADV ADJ ADJ NOUN NOUN NOUN
Watching balefully from afar was the party's ultimate, though lame - duck, boss, President Mitterrand.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	lame duck	figurative	dashes	VERB ADV ADP ADV VERB DET NOUN ADJ ADP ADJ PUNCT NOUN NOUN PROPN PROPN	▁Watch ing ▁bal e fully ▁from ▁a far ▁was ▁the ▁party ' s ▁ultimate , ▁though ▁lam e ▁- ▁duck , ▁bo s s , ▁President ▁Mitter rand .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	VERB VERB ADV ADV ADV ADP ADV ADV VERB DET NOUN NOUN NOUN ADJ ADJ ADP ADJ ADJ PUNCT NOUN NOUN NOUN NOUN NOUN NOUN PROPN PROPN PROPN PROPN
Everybody knew he had become a lame duck.’	0 0 0 0 0 0 1 1	lame duck	figurative	dashes	NOUN VERB PRON VERB VERB DET NOUN ADP	▁Everybody ▁knew ▁he ▁had ▁become ▁a ▁lam e ▁duck . ’	0 0 0 0 0 0 1 1 1 1 1	NOUN VERB PRON VERB VERB DET NOUN NOUN ADP ADP ADP
There is no small irony in the fact that on November 15, America ’s lame duck president, the unilateralist George ~ W .~ Bush, is hosting a multilateral conference to discuss reshaping the global economic system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	ADV VERB DET ADJ NOUN ADP DET NOUN ADP ADP PROPN NUM PROPN PART ADJ NOUN NOUN DET ADJ PROPN SYM PROPN PUNCT PROPN VERB VERB DET ADJ NOUN PART VERB VERB DET ADJ ADJ NOUN	▁There ▁is ▁no ▁small ▁iron y ▁in ▁the ▁fact ▁that ▁on ▁November ▁15 , ▁America ▁ ’ s ▁lam e ▁duck ▁president , ▁the ▁unilateral ist ▁George ▁ ~ ▁W ▁ . ~ ▁Bush , ▁is ▁hosting ▁a ▁multilateral ▁conference ▁to ▁discuss ▁res ha ping ▁the ▁global ▁economic ▁system .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET ADJ NOUN NOUN ADP DET NOUN ADP ADP PROPN NUM NUM PROPN PART PART PART ADJ ADJ NOUN NOUN NOUN DET ADJ ADJ PROPN SYM SYM PROPN PUNCT PUNCT PUNCT PROPN PROPN VERB VERB DET ADJ NOUN PART VERB VERB VERB VERB DET ADJ ADJ NOUN NOUN
There are already too many question marks hanging over this Government and too many lame ducks in it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	lame duck	figurative	inflection	ADV VERB ADV ADV ADJ NOUN NOUN VERB ADP DET PROPN CCONJ ADV ADJ ADJ NOUN ADP PRON	▁There ▁are ▁already ▁too ▁many ▁question ▁marks ▁hanging ▁over ▁this ▁Government ▁and ▁too ▁many ▁lam e ▁ducks ▁in ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	ADV VERB ADV ADV ADJ NOUN NOUN VERB ADP DET PROPN CCONJ ADV ADJ ADJ ADJ NOUN ADP PRON PRON
He has also had to govern in a persistently difficult environment : a lame - duck president next door in the United ~ States, a severe economic downturn, and the legacy of corruption, negligence, and complicity handed down by his predecessors since 1968, when Mexico's old one - party political system began to crumble.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	PRON VERB ADV VERB PART VERB ADP DET ADV ADJ NOUN PUNCT DET ADJ PUNCT NOUN NOUN ADJ NOUN ADP DET PROPN PUNCT PROPN DET ADJ ADJ NOUN CCONJ DET NOUN ADP NOUN NOUN CCONJ NOUN VERB PART ADP ADJ NOUN ADP NUM ADV PROPN ADJ NUM PUNCT NOUN ADJ NOUN VERB PART VERB	▁He ▁has ▁also ▁had ▁to ▁govern ▁in ▁a ▁persistent ly ▁difficult ▁environment ▁ : ▁a ▁lam e ▁- ▁duck ▁president ▁next ▁door ▁in ▁the ▁United ▁ ~ ▁States , ▁a ▁severe ▁economic ▁downturn , ▁and ▁the ▁legacy ▁of ▁corruption , ▁negligence , ▁and ▁complicity ▁handed ▁down ▁by ▁his ▁predecessor s ▁since ▁1968 , ▁when ▁Mexico ' s ▁old ▁one ▁- ▁party ▁political ▁system ▁began ▁to ▁cru mble .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB PART VERB ADP DET ADV ADV ADJ NOUN PUNCT PUNCT DET ADJ ADJ PUNCT NOUN NOUN ADJ NOUN ADP DET PROPN PUNCT PUNCT PROPN PROPN DET ADJ ADJ NOUN NOUN CCONJ DET NOUN ADP NOUN NOUN NOUN NOUN CCONJ NOUN VERB PART ADP ADJ NOUN NOUN ADP NUM NUM ADV PROPN PROPN PROPN ADJ NUM PUNCT NOUN ADJ NOUN VERB PART VERB VERB VERB
Or no, don't tell me,’ she denied with a scowl every bit as horrible as her son's, ‘ he's adopted another blasted lame duck and has got him living here with him!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lame duck	figurative	identical	CCONJ INTJ VERB VERB NUM PRON VERB ADP DET NOUN DET NOUN ADV ADJ ADP ADJ NOUN PUNCT PRON VERB DET VERB ADJ NOUN CCONJ VERB VERB PRON VERB ADV ADP PRON	▁Or ▁no , ▁don ' t ▁tell ▁me , ’ ▁she ▁denied ▁with ▁a ▁sc owl ▁every ▁bit ▁as ▁horr ible ▁as ▁her ▁son ' s , ▁ ‘ ▁he ' s ▁adopted ▁another ▁blast ed ▁lam e ▁duck ▁and ▁has ▁got ▁him ▁living ▁here ▁with ▁him !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	CCONJ INTJ INTJ VERB VERB VERB VERB NUM NUM NUM PRON VERB ADP DET NOUN NOUN DET NOUN ADV ADJ ADJ ADP ADJ NOUN NOUN NOUN NOUN PUNCT PUNCT PRON PRON PRON VERB DET VERB VERB ADJ ADJ NOUN CCONJ VERB VERB PRON VERB ADV ADP PRON PRON
