The route then heads south west to Force Mills.	0 0 0 1 1 0 0 0 0	head south	literal	inflection	DET NOUN ADV VERB ADV ADV ADP PROPN PROPN
Moxon took Cromwell Road, then headed south down Gloucester Road towards Old Brompton Road.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	head south	literal	inflection	PROPN VERB PROPN PROPN ADV VERB ADV ADP PROPN PROPN ADP PROPN PROPN PROPN
He walked on down the road, heading south towards the far end of the valley.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	head south	literal	inflection	PRON VERB PART ADP DET NOUN VERB ADV ADP DET ADJ NOUN ADP DET NOUN
KEN FIDDLING, who died in June at the age of 74, gave Northamptonshire quiet and efficient service behind the stumps from 1947, when he headed south from his native Yorkshire, until injury put an end to his career six years later.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PROPN NOUN NOUN VERB ADP PROPN ADP DET NOUN ADP NUM VERB PROPN ADJ CCONJ ADJ NOUN ADP DET NOUN ADP NUM ADV PRON VERB ADV ADP ADJ ADJ PROPN ADP NOUN VERB DET NOUN ADP ADJ NOUN NUM NOUN ADV
It was an impressive and, for the spectators, rather emotional spectacle when the 121 ARC yachts finally headed south from Las Palmas after weeks of preparation	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	head south	literal	inflection	PRON VERB DET ADJ CCONJ ADP DET NOUN ADV ADJ NOUN ADV DET NUM PROPN NOUN ADV VERB ADV ADP PROPN PROPN ADP NOUN ADP NOUN
Other detachments headed south from northern, rebel - held cities in an advance on Madrid, only to find themselves humiliatingly held by urban militia groups in the Guadarrama mountains north of the city.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADJ NOUN VERB ADV ADP ADJ NOUN PUNCT VERB NOUN ADP DET NOUN ADP PROPN ADV PART VERB PRON ADV VERB ADP ADJ NOUN NOUN ADP DET PROPN NOUN NOUN ADP DET NOUN
The search was suspended by the coastguard at 1945 and the lifeboat headed south for Eyemouth.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	head south	literal	inflection	DET NOUN VERB VERB ADP DET ADJ ADP NUM CCONJ DET NOUN VERB ADV ADP PROPN
The route then curves around to head south towards Grizedale Tarn.	0 0 0 0 0 0 1 1 0 0 0	head south	literal	identical	DET NOUN ADV VERB PART PART VERB ADV ADP PROPN PROPN
To finish off your walk head south from the hill top to Windermere Railway Station ( 0.5 miles ).	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	identical	PART VERB PART ADJ NOUN NOUN ADV ADP DET NOUN NOUN ADP PROPN PROPN PROPN PUNCT NUM NOUN PUNCT
Then, if we get lucky we drive over the Luxembourg frontier into Germany, head south down the Rhine for the Black Forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	head south	literal	identical	ADV ADP PRON VERB ADJ PRON VERB ADP DET PROPN NOUN ADP PROPN VERB ADV ADP DET PROPN ADP DET PROPN PROPN
The A.832 now heads south up a wooded ravine, rising pleasantly to open country, the latter section of the climb being defaced by a huge water pipe coming down from a reservoir above : a black mark for the planners and water authorities.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	DET PROPN ADV VERB ADV PART DET ADJ NOUN VERB ADV PART VERB NOUN DET ADJ NOUN ADP DET NOUN VERB VERB ADP DET ADJ NOUN NOUN VERB PART ADP DET NOUN ADV PUNCT DET ADJ NOUN ADP DET NOUN CCONJ NOUN NOUN
Despite the virtual anonymity of the FX4 cab anywhere in London, I kept a safe distance behind the Sierra as Nevil headed south and then east, crossing the river in Chelsea, then turning east again, running behind Battersea power station.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP DET ADJ NOUN ADP DET NOUN NOUN ADV ADP PROPN PRON VERB DET ADJ NOUN ADP DET PROPN ADP PROPN VERB ADV CCONJ ADV ADV VERB DET NOUN ADP PROPN ADV VERB ADV ADV VERB ADP PROPN NOUN NOUN
‘ On the autobahn, heading south towards Karlsruhe.	0 0 0 0 1 1 0 0	head south	literal	inflection	PUNCT ADP DET NOUN VERB ADV ADP PROPN
But, all the same, she wouldn't feel safe until they were finally aboard the train and it was heading south out of Central Station.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	head south	literal	inflection	CCONJ ADJ DET ADJ PRON VERB VERB ADJ ADP PRON VERB ADV ADP DET NOUN CCONJ PRON VERB VERB ADV ADP ADP PROPN PROPN
Measuring some 35 miles by 10 miles, and heading south with the current at the rate of around one mile per day, its threat is exacerbated by the fact that the Gulf is a shallow sea, with an average depth of only 35 metres.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	VERB DET NUM NOUN ADP NUM NOUN CCONJ VERB ADV ADP DET NOUN ADP DET NOUN ADP ADV NUM NOUN ADP NOUN ADJ NOUN VERB VERB ADP DET NOUN ADP DET PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP ADJ NUM NOUN
I had planned to take a train there ; to head south and see more of South America.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	head south	literal	identical	PRON VERB VERB PART VERB DET NOUN ADV PUNCT PART VERB ADV CCONJ VERB ADJ ADP PROPN PROPN
They were seized shortly after 8 p.m. last night when a BMW heading south on the M5 motorway was stopped in a routine police check between Junctions 13 and 14 near Stinchcombe.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PRON VERB VERB ADV ADP NUM ADV ADJ NOUN ADV DET PROPN VERB ADV ADP DET PROPN NOUN VERB VERB ADP DET ADJ NOUN NOUN ADP PROPN NUM CCONJ NUM ADP PROPN
As he picked his way through the traffic, heading south, Rory wondered if it was as plain as that.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP PRON VERB ADJ NOUN ADP DET NOUN VERB ADV PROPN VERB ADP PRON VERB ADV ADJ ADP DET
Far below, on the winter's day when I stood and watched, the Aleksandr Ulyanov — a 30,000-ton general freighter — was grinding slowly northbound, back to the Atlantic, back to Mother Russia ; a comfortable - looking, rust - stained Greek liner called the Corfu Reefer had passed heading south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	ADV ADV ADP DET NOUN NOUN ADV PRON VERB CCONJ VERB DET PROPN PROPN PUNCT DET NOUN ADJ NOUN PUNCT VERB VERB ADV VERB ADV ADP DET PROPN ADV ADP PROPN PROPN PUNCT DET ADJ PUNCT ADJ NOUN PUNCT VERB ADJ NOUN VERB DET PROPN PROPN VERB VERB VERB ADV
I was back on the A12 heading south for the Smoke by 7 a.m. the next morning, well before the Front Line had stirred — all but Melanie, that is, who had been grumpily evicted from the Transit at 6.30.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PRON VERB ADV ADP DET PROPN VERB ADV ADP DET NOUN ADP NUM NOUN DET ADJ NOUN ADV ADP DET PROPN PROPN VERB VERB PUNCT DET CCONJ PROPN ADV ADV NOUN VERB VERB ADV VERB ADP DET PROPN ADP NUM
He had been travelling for eight years and was now heading south towards Delhi, the capital of the Sultan of Hindustan.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PRON VERB VERB VERB ADP NUM NOUN CCONJ VERB ADV VERB ADV ADP PROPN DET NOUN ADP DET PROPN ADP PROPN
The Great Central Railtour of June 1963 behind 4472 ‘ Flying Scotsman’, seen as it heads south from Tibshelf and is about to cross the Midland branch from Westhouses to Teversal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	DET PROPN PROPN PROPN ADP PROPN NUM ADP NUM DET PROPN ADV VERB ADP PRON VERB ADV ADP PROPN CCONJ VERB ADJ PART VERB DET PROPN NOUN ADP NOUN ADP PROPN
Car number B302 EAM is on the A256 heading south from Ramsgate.	0 0 0 0 0 0 0 0 1 1 0 0	head south	literal	inflection	NOUN NOUN ADP PROPN VERB ADP DET PROPN VERB ADV ADP PROPN
The extremely utilitarian front end of the Sprinters is displayed against the massive ironwork of the Forth Bridge by No 150284 as it heads south working the 13.40 Dundee to Edinburgh train on 29 August 1988.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	DET ADV ADJ ADJ NOUN ADP DET PROPN VERB VERB ADP DET ADJ NOUN ADP DET PROPN PROPN ADP DET NUM ADP PRON VERB ADV VERB DET NUM PROPN ADP PROPN VERB ADP NUM PROPN NUM
When winter snow and ice cover the breeding grounds the birds head south to Britain.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	head south	literal	identical	ADV NOUN NOUN CCONJ NOUN NOUN DET NOUN NOUN DET NOUN VERB ADV ADP PROPN
From there they headed south into the desert to Bir Zalten where they arrived on 29 November.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP ADV PRON VERB ADV ADP DET NOUN ADP PROPN PROPN ADV PRON VERB ADP NUM PROPN
Since Charles's father claimed the throne of England as well as Scotland, however, he was virtually obliged to take the initiative and eventually, on Friday 1 November 1745, the 5–6000 men of the Jacobite army, of whom 300–500 were cavalry, marched out of Edinburgh heading south and at Dalkeith split into two columns, one led by the Duke of Perth, going via Peebles, Moffat, Lockerbie and Ecclefechan, the other, led by Charles on foot, through Kelso, Jedburgh and Hawick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP PROPN NOUN VERB DET NOUN ADP PROPN ADV ADV ADP PROPN ADV PRON VERB ADV VERB PART VERB DET NOUN CCONJ ADV ADP PROPN NUM PROPN NUM DET NUM NOUN ADP DET PROPN NOUN ADP NOUN NUM VERB NOUN VERB ADP ADP PROPN VERB ADV CCONJ ADP PROPN VERB ADP NUM NOUN NUM VERB ADP DET PROPN ADP PROPN VERB ADP PROPN PROPN PROPN CCONJ PROPN DET ADJ VERB ADP PROPN ADP NOUN ADP PROPN PROPN CCONJ PROPN
From Taupo we headed south - east through some wild and hilly country to Havelock North in Hawkes’ Bay, to visit our first lot of friends, the McKenzies and Mrs Styles.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	ADP PROPN PRON VERB ADJ PUNCT NOUN ADP DET ADJ CCONJ ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN PART VERB ADJ ADJ NOUN ADP NOUN DET PROPN CCONJ PROPN PROPN
HEAD south and banish those autumn blues with a trip to the seaside.	1 1 0 0 0 0 0 0 0 0 0 0 0	head south	literal	case	PROPN ADV CCONJ VERB DET NOUN NOUN ADP DET NOUN ADP DET NOUN
No 86427 The Industrial Society and 87005 City of London head south through the Lune Gorge with a Mossend – severn Tunnel Junction steel coil train on 23 February 1988.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	identical	DET NUM DET PROPN PROPN CCONJ NUM PROPN ADP PROPN NOUN ADV ADP DET PROPN PROPN ADP DET NOUN PUNCT NOUN PROPN PROPN NOUN ADJ NOUN ADP NUM PROPN NUM
The backwater village of 3,000 inhabitants, 250 km south - east of Paris, was once an obligatory stopping - off point for travellers headed south for the Riviera.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	head south	figurative	inflection	DET NOUN NOUN ADP NUM NOUN NUM NOUN ADJ PUNCT NOUN ADP PROPN VERB ADV DET ADJ NOUN PUNCT PART NOUN ADP NOUN VERB ADV ADP DET PROPN
From the car park turn right and head south.	0 0 0 0 0 0 0 1 1	head south	literal	identical	ADP DET NOUN NOUN VERB ADV CCONJ VERB ADV
Continue on to the Nine Wells valley then head south west to cross Morfa Common again.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	head south	literal	identical	VERB PART ADP DET PROPN PROPN PROPN ADV VERB ADV ADV PART VERB PROPN PROPN ADV
An ex - amateur racing driver, Oscar was confident that after the ‘ accident’ he could execute the necessary U - turn to head south again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	head south	literal	identical	DET NUM PUNCT NOUN NOUN NOUN PROPN VERB ADJ ADP ADP DET NOUN INTJ PRON VERB VERB DET ADJ NOUN PUNCT NOUN PART VERB ADV ADV
The ship which had left Hong Kong two days earlier was heading south towards the equator under a fierce afternoon sun, and in the sweltering darkness between decks, three hundred Chinese coolies and their families jostled together in silence, straining up towards the fresh air currents playing beyond the iron grilles that confined them.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	DET NOUN ADJ VERB VERB PROPN PROPN NUM NOUN ADV VERB VERB ADV ADP DET NOUN ADP DET ADJ NOUN NOUN CCONJ ADP DET ADJ NOUN ADP NOUN NUM NUM ADJ NOUN CCONJ ADJ NOUN VERB ADV ADP NOUN VERB PART ADP DET ADJ NOUN NOUN VERB ADP DET NOUN NOUN ADJ VERB PRON
He continued on across the road and down by the side of the church, heading south towards Pimlico, trying to imagine how it had been on that September day all those years ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	head south	literal	inflection	PRON VERB PART ADP DET NOUN CCONJ ADV ADP DET NOUN ADP DET NOUN VERB ADV ADP PROPN VERB PART VERB ADV PRON VERB VERB ADP DET PROPN NOUN ADJ DET NOUN ADV
Unlike most Ghosts, these have spellcasting abilities and will use them to stop the adventurers heading south.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	head south	literal	inflection	ADP ADJ NOUN DET VERB VERB NOUN CCONJ VERB VERB PRON PART VERB DET NOUN VERB ADV
