I 'd wager she wishes she could turn tail and run already!’	0 0 0 0 0 0 0 1 1 0 0 0	turn tail	figurative	identical	PRON VERB VERB PRON VERB PRON VERB VERB NOUN CCONJ VERB NOUN
If it had been grey and raining and chilly he might have taken one look at Wyvis Hall and turned tail and fled to Crete or Delos or somewhere.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	ADP PRON VERB VERB ADJ CCONJ VERB CCONJ ADV PRON VERB VERB VERB NUM NOUN ADP PROPN PROPN CCONJ VERB NOUN CCONJ VERB ADP PROPN CCONJ PROPN CCONJ ADV
His victim took one disbelieving look at her unlikely rescuer and then, before Folly could reassure her, the girl had turned tail and was running nimbly down the street.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	turn tail	figurative	inflection	ADJ NOUN VERB NUM NOUN NOUN ADP ADJ ADJ NOUN CCONJ ADV ADP PROPN VERB VERB PRON DET NOUN VERB VERB NOUN CCONJ VERB VERB ADV ADP DET NOUN
Hearing these words and seeing the speaker ride boldly toward him, the tiger was so alarmed that he turned tail and bolted into the forest.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	turn tail	figurative	inflection	VERB DET NOUN CCONJ VERB DET NOUN VERB ADV ADP PRON DET NOUN VERB ADV ADJ ADP PRON VERB NOUN CCONJ VERB ADP DET NOUN
Again, she had plenty of opportunity to turn tail and run, to prove to him somehow, somewhere, some way, that he had got entirely the wrong idea about her.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	ADV PRON VERB NOUN ADP NOUN PART VERB NOUN CCONJ VERB PART VERB ADP PRON ADV ADV DET NOUN ADP PRON VERB VERB ADV DET ADJ NOUN ADP PRON
Two ducks were flying over their favourite pond when they heard the sound of a hunter's gun and turned tail to flee.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	turn tail	figurative	inflection	NUM NOUN VERB VERB ADP ADJ ADJ NOUN ADV PRON VERB DET NOUN ADP DET NOUN NOUN CCONJ VERB NOUN PART VERB
‘ First thing : you can't just haul off and smack a dog in the snout and expect him to turn tail and run away.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	turn tail	figurative	identical	PUNCT ADJ NOUN PUNCT PRON VERB ADV VERB PART CCONJ VERB DET NOUN ADP DET NOUN CCONJ VERB PRON PART VERB NOUN CCONJ NOUN NOUN
Though he did not know it the San Antonio had turned tail and was even now on her way back to Spain, ‘ bearing a cargo of falsehood against Magellan’.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	ADP PRON VERB ADV VERB PRON DET PROPN PROPN VERB VERB NOUN CCONJ VERB ADV ADV ADP ADJ NOUN ADV ADP PROPN PUNCT VERB DET NOUN ADP NOUN ADP PROPN
‘ Are you going to do your duty, or turn tail and run?’	0 0 0 0 0 0 0 0 0 1 1 0 0	turn tail	figurative	identical	PUNCT VERB PRON VERB PART VERB ADJ NOUN CCONJ VERB NOUN CCONJ NOUN
Folly turned tail and almost ran away.	0 1 1 0 0 0 0	turn tail	figurative	inflection	PROPN VERB NOUN CCONJ ADV VERB ADV
He caught sight of a few others, but they turned tail and vanished when they saw him through the mist.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	PRON VERB NOUN ADP DET ADJ NOUN CCONJ PRON VERB NOUN CCONJ VERB ADV PRON VERB PRON ADP DET NOUN
But if I said nothing, turned tail and ran from Gyggle, what hope was there for an ordinary life for Ian Wharton?	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	CCONJ ADP PRON VERB NOUN VERB NOUN CCONJ VERB ADP PROPN NOUN NOUN VERB ADV ADP DET ADJ NOUN ADP PROPN PROPN
I was so shocked I just turned tail and ran home as fast as I could.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	PRON VERB ADV ADJ PRON ADV VERB NOUN CCONJ VERB ADV ADV ADV ADP PRON VERB
She wanted to turn tail and run and keep on running away from him, away from what she might discover, away from what could only break her heart, yet she knew that was impossible.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	PRON VERB PART VERB NOUN CCONJ VERB CCONJ VERB PART VERB ADV ADP PRON ADV ADP NOUN PRON VERB VERB ADV ADP NOUN VERB ADV VERB ADJ NOUN CCONJ PRON VERB DET VERB ADJ
At the sight of windows lit against the gathering gloom she had a sudden desire to turn tail and run, to take refuge below in the Angharad.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	ADP DET NOUN ADP NOUN VERB ADP DET NOUN NOUN PRON VERB DET ADJ NOUN PART VERB NOUN CCONJ VERB PART VERB NOUN ADV ADP DET PROPN
But er it wasn't long after that there was another big bang on the platform and they all sort of turned tail and went away for their own safety.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	turn tail	figurative	inflection	CCONJ INTJ PRON VERB ADV ADP ADP ADV VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON DET ADV ADV VERB NOUN CCONJ VERB ADV ADP ADJ ADJ NOUN
Stone Systems, the would - be Sparc merchant from Hong Kong ( UX No 358 ), has turned tail and fled the US marketplace shutting down its one American office last week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	inflection	PROPN PROPN DET VERB PUNCT VERB PROPN NOUN ADP PROPN PROPN PUNCT PROPN PROPN NUM PUNCT VERB VERB NOUN CCONJ VERB DET PROPN NOUN VERB PART ADJ NUM ADJ NOUN ADJ NOUN
It looked at me in the kind of easy, assessing way dogs on their peculiar errands do look at strangers — and then looked again, and stopped dead : his hackles rose : he backed, he made a kind of howling noise, turned tail, and fled.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	turn tail	figurative	inflection	PRON VERB ADP PRON ADP DET NOUN ADP ADJ VERB NOUN NOUN ADP ADJ ADJ NOUN VERB VERB ADP NOUN PUNCT CCONJ ADV VERB ADV CCONJ VERB ADJ PUNCT ADJ NOUN VERB PUNCT PRON VERB PRON VERB DET NOUN ADP VERB NOUN VERB NOUN CCONJ VERB
But the panic soon subsided, helped by the news that the Scots had already turned tail.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	turn tail	figurative	inflection	CCONJ DET NOUN ADV VERB VERB ADP DET NOUN ADP DET NOUN VERB ADV VERB NOUN
With every nerve straining to turn tail and run, she 'd backed away as quietly as possible and once she was out of earshot raced back down to the beach to find the tide had turned.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn tail	figurative	identical	ADP DET NOUN NOUN PART VERB NOUN CCONJ VERB PRON VERB VERB PART ADV ADV ADP ADJ CCONJ ADP PRON VERB ADP ADP NOUN VERB ADV ADV ADP DET NOUN PART VERB DET NOUN VERB VERB
I like to think it was the gun in my bunker that hit it and forced the pilot to turn tail and dump his bombs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	turn tail	figurative	identical	PRON VERB PART VERB PRON VERB DET NOUN ADP ADJ NOUN ADJ VERB PRON CCONJ VERB DET NOUN PART VERB NOUN CCONJ VERB ADJ NOUN
