Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN
Saddam ~ Hussein and Zine ~ El ~ Abidine ~ Ben ~ Ali preceded Mubarak in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	PROPN PUNCT PROPN CCONJ PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN VERB PROPN ADP DET NOUN
By 1918 North Shields was a clear locale of modern organized capitalism with very large industrial establishments in Smith's Dock and the docks of the Tyne Improvement Commission, with a highly organized capitalist class, particularly in shipping and in urban development, and with a working class organized around production in trade unions and reproduction through ad hoc organizations, especially around housing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	ADP NUM PROPN PROPN VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP ADV ADJ ADJ NOUN ADP PROPN PROPN CCONJ DET NOUN ADP DET PROPN PROPN PROPN ADP DET ADV VERB ADJ NOUN ADV ADP NOUN CCONJ ADP ADJ NOUN CCONJ ADP DET VERB NOUN VERB ADP NOUN ADP NOUN NOUN CCONJ NOUN ADP X X NOUN ADV ADP NOUN
The UN ’s Human Rights Council would not have dared to put Russia in the dock for razing Grozny, Chechnya ’s capital, or China for brutally suppressing the people of Tibet and the Muslim Uighur minority.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	DET PROPN PART PROPN PROPN PROPN VERB ADV VERB VERB PART VERB PROPN ADP DET NOUN ADP VERB PROPN PROPN PART NOUN CCONJ PROPN ADP ADV VERB DET NOUN ADP PROPN CCONJ DET PROPN PROPN NOUN
I asked Sam, ‘ What's under the water in the dock?’	0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	dashes	PRON VERB PROPN PUNCT NOUN ADP DET NOUN ADP DET NOUN
‘ Tory laws have put Britain in the dock alongside Chile and Korea and all those nasty dictatorships that everybody here despises,’ he said.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PUNCT PROPN NOUN VERB VERB PROPN ADP DET NOUN ADP PROPN CCONJ PROPN CCONJ ADJ DET ADJ NOUN ADP NOUN ADV VERB PRON VERB
Wife lands him in dock	0 0 0 1 1	in the dock	figurative	inflection	NOUN VERB PRON ADP NOUN
Henry Globe, prosecuting, said that another man not in the dock at Liverpool Crown Court, Thomas White, has already pleaded guilty.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	PROPN PROPN VERB VERB ADP DET NOUN ADV ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB ADV VERB ADJ
As Titron lifted, the black water in the dock sucked away, opening up a drop of several feet, only to be followed by a surge upwards.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	ADP PROPN VERB DET ADJ NOUN ADP DET NOUN VERB ADV VERB PART DET NOUN ADP ADJ NOUN ADV PART VERB VERB ADP DET NOUN ADV
I mean, Americans drink it in martinis, the cocktail set love it ' pink ' and a ' G&T'is still the preferred drink of the ' darling luvvy'classes as they bob up and down on their boats moored firmly in the sheltered dock of Liverpool Marina.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	in the dock	literal	insertion-other	PRON VERB PROPN VERB PRON ADP NOUN DET NOUN VERB NOUN PRON PUNCT ADJ PUNCT CCONJ DET PUNCT PROPN ADV DET VERB NOUN ADP DET PUNCT NOUN NOUN ADP PRON VERB PART CCONJ ADV ADP ADJ NOUN VERB ADV ADP DET ADJ NOUN ADP PROPN PROPN
With South African Rugby in the dock the Council for the Defence would point to the record of the Springboks.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	ADP ADJ PROPN PROPN ADP DET NOUN DET PROPN ADP DET PROPN VERB VERB ADP DET NOUN ADP DET PROPN
Faced with a national drought that was playing havoc with his own garden and those of his village neighbours, one Richard Bullock took matters into his own hands and ended up in the dock for his pains.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the dock	figurative	identical	VERB ADP DET ADJ NOUN ADJ VERB VERB NOUN ADP ADJ ADJ NOUN CCONJ DET ADP ADJ NOUN NOUN NUM PROPN PROPN VERB NOUN ADP ADJ ADJ NOUN CCONJ VERB PART ADP DET NOUN ADP ADJ NOUN
( 4 ) A specific immunity, possessed by accused persons undergoing trial, from being compelled to give evidence, and from being compelled to answer questions put to them in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	PUNCT PUNCT PUNCT DET ADJ NOUN VERB ADP VERB NOUN VERB NOUN ADP VERB VERB PART VERB NOUN CCONJ ADP VERB VERB PART VERB NOUN VERB ADP PRON ADP DET NOUN
There's a marina down in the docks!	0 0 0 0 1 0 1	in the dock	literal	inflection	ADV DET NOUN ADV ADP DET NOUN
But already the ships in the Morpork docks — laden with grain, cotton and timber, and coated with tar — were blazing merrily and, their moorings burnt to ashes, were breasting the river Ankh on the ebb tide, igniting riverside palaces and bowers as they drifted like drowning fireflies towards the sea.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-inflection	CCONJ ADV DET NOUN ADP DET PROPN NOUN PUNCT ADJ ADP NOUN NOUN CCONJ NOUN CCONJ VERB ADP NOUN PUNCT VERB VERB ADV CCONJ ADJ NOUN VERB ADP NOUN VERB VERB DET NOUN PROPN ADP DET NOUN NOUN VERB NOUN NOUN CCONJ NOUN ADP PRON VERB ADP VERB NOUN ADP DET NOUN
Then they ran across lawyers ' benches to try to reach driver Christopher Lewin, 19, and passenger David Nnah in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	ADV PRON VERB ADP NOUN PART NOUN PART VERB PART VERB NOUN PROPN PROPN NUM CCONJ NOUN PROPN PROPN ADP DET NOUN
