And cold comfort.	0 1 1	cold comfort	figurative	identical	CCONJ ADJ NOUN
It is actually much easier than appearances would suggest — cold comfort when it looks impossible!	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	cold comfort	figurative	identical	PRON VERB ADV ADV ADJ ADP NOUN VERB VERB PUNCT ADJ NOUN ADV PRON VERB ADJ
It's cold comfort, of course, when there isn't much of a market to have a share of.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	PRON ADJ NOUN ADP NOUN ADV ADV VERB ADJ ADP DET NOUN PART VERB DET NOUN ADP
Exploring the nether regions of East Sussex from cold comfort on the South Downs, to Mexico in Peasmarsh, the Festival is out of the concert hall and into the streets, the sewers …	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	VERB DET ADJ NOUN ADP PROPN PROPN ADP ADJ NOUN ADP DET PROPN PROPN ADP PROPN ADP PROPN DET PROPN VERB ADP ADP DET NOUN NOUN CCONJ ADP DET NOUN DET NOUN PUNCT
British Columbia .............. 3 New Zealand .................. 48 AS THE All Blacks touch down at Heathrow today there is nothing but cold comfort for John Ryan, the Welsh coach, with the news of their heavy defeat of British Columbia at the Swangard Stadium here en route to their United Kingdom tour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	PROPN PROPN PUNCT NUM PROPN PROPN PUNCT NUM ADP DET PROPN PROPN VERB PART ADP PROPN NOUN ADV VERB NOUN ADP ADJ NOUN ADP PROPN PROPN DET PROPN NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP PROPN PROPN ADP DET PROPN PROPN ADV ADP NOUN ADP ADJ PROPN PROPN NOUN
Jeremy Leggett reports on some cold - comfort clues from the Ice Age, while David Pugh considers the particular dangers facing cities like Venice as sea levels rise The big melt - down to a flood of fears.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	dashes	PROPN PROPN VERB ADP DET ADJ PUNCT NOUN NOUN ADP DET PROPN PROPN ADP PROPN PROPN VERB DET ADJ NOUN VERB NOUN ADP PROPN ADP NOUN NOUN VERB DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP NOUN
Cold comfort	1 1	cold comfort	figurative	case	ADJ NOUN
Jolly frosty snowmen and frozen fir trees will add a touch of cold comfort to a gin and tonic or a fruit cup.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	ADJ ADJ NOUN CCONJ ADJ NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ NOUN CCONJ DET NOUN NOUN
Cold comfort …	1 1 0	cold comfort	figurative	case	ADJ NOUN PUNCT
But that's cold comfort to the players who for the past two months or so have been attempting to qualify for the PGA European Tour.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	CCONJ DET ADJ NOUN ADP DET NOUN NOUN ADP DET ADJ NUM NOUN CCONJ ADV VERB VERB VERB PART VERB ADP DET PROPN PROPN PROPN
It was cold comfort, all right.	0 0 1 1 0 0	cold comfort	figurative	identical	PRON VERB ADJ NOUN ADV ADJ
Cold comforts of a hotel room :	1 1 0 0 0 0 0	cold comfort	figurative	combined-inflection	ADJ NOUN ADP DET NOUN NOUN PUNCT
This may sound like cold comfort when you 're desperately hoping for something to come along and get you going — but continuing your work and maintaining skills is vitally important.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	DET VERB VERB ADP ADJ NOUN ADV PRON VERB ADV VERB ADP NOUN PART VERB PART CCONJ VERB PRON VERB PUNCT CCONJ VERB ADJ NOUN CCONJ NOUN NOUN VERB ADV ADJ
Mellor's self - styled heroics were cold comfort for his team leader, John Major.	0 0 0 0 0 0 1 1 0 0 0 0 0 0	cold comfort	figurative	identical	PROPN NOUN PUNCT VERB NOUN VERB ADJ NOUN ADP ADJ NOUN NOUN PROPN PROPN
Cold comfort	1 1	cold comfort	figurative	case	ADJ NOUN
But the champion has cold comfort from a scheduled fourth round clash with Krajicek and a quarter - final showdown with world No 1 Sampras, who opens against world No 119 Neil Borwick, of Australia.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	CCONJ DET NOUN VERB ADJ NOUN ADP DET VERB ADJ NOUN NOUN ADP PROPN CCONJ DET NOUN PUNCT ADJ NOUN ADP NOUN PROPN NUM PROPN NOUN VERB ADP NOUN DET NUM PROPN PROPN ADP PROPN
Brussels brings cold comfort to sheep farmers.	0 0 1 1 0 0 0	cold comfort	figurative	identical	PROPN VERB ADJ NOUN ADP NOUN NOUN
After last year's shock announcement of the DVR Company's near total withdrawal from the seven - mile Buckfastleigh line and rescue handover to volunteers of the South Devon Railway Trust, these figures will be cold comfort to many local steam supporters and shareholders of the Dart Valley Railway despite claims by the Company that all is well.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	ADP ADJ NOUN NOUN NOUN ADP DET PROPN PROPN ADP ADJ NOUN ADP DET NUM PUNCT NOUN PROPN NOUN CCONJ NOUN NOUN ADP NOUN ADP DET PROPN PROPN PROPN PROPN DET NOUN VERB VERB ADJ NOUN ADP ADJ ADJ NOUN NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN ADP NOUN ADP DET PROPN ADJ DET VERB ADJ
That was cold comfort really	0 0 1 1 0	cold comfort	figurative	identical	DET VERB ADJ NOUN ADV
However, the richness as a cultural object of a deteriorated Windows 1.0 disc pack is cold comfort to an archivist or historian preoccupied with preserving or regenerating the operational environment of the product.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	ADV DET NOUN ADP DET ADJ NOUN ADP DET ADJ PROPN NUM NOUN NOUN VERB ADJ NOUN ADP DET NOUN CCONJ NOUN VERB ADP VERB CCONJ VERB DET ADJ NOUN ADP DET NOUN
And the fact that she had sent him away before he 'd had time to betray her was cold comfort, set against the enormity of that loss.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	cold comfort	figurative	identical	CCONJ DET NOUN ADP PRON VERB VERB PRON ADV ADP PRON VERB VERB NOUN PART VERB PRON VERB ADJ NOUN VERB ADP DET NOUN ADP DET NOUN
One problem here is that it is cold comfort to an individual citizen that he can use the political process to air his grievances, for example by writing to his MP or councillor or to the press or voting for another party next time round.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	NUM NOUN ADV VERB ADP PRON VERB ADJ NOUN ADP DET ADJ NOUN ADJ PRON VERB VERB DET ADJ NOUN PART VERB ADJ NOUN ADP NOUN ADP VERB ADP ADJ PROPN CCONJ NOUN CCONJ ADP DET NOUN CCONJ VERB ADP DET NOUN ADJ NOUN NOUN
Those who are enraged by the state of disrepair of Bristol's streets may derive a cold comfort from reading in Elizabeth Ralph's pamphlet, The Streets of Bristol, that things were just as bad in the Middle Ages and that by the end of the 18th century the roads to Bristol were a lot better than the roads in it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP PROPN NOUN VERB VERB DET ADJ NOUN ADP VERB ADP PROPN PROPN NOUN DET PROPN ADP PROPN ADP NOUN VERB ADV ADV ADJ ADP DET PROPN PROPN CCONJ ADP ADP DET NOUN ADP DET ADJ NOUN DET NOUN ADP PROPN VERB DET NOUN ADJ ADP DET NOUN ADP PRON
