Or C, take it as a real compliment and you are on the same wavelength?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	identical	CCONJ PROPN VERB PRON ADP DET ADJ NOUN CCONJ PRON VERB ADP DET ADJ NOUN	▁Or ▁C , ▁take ▁it ▁as ▁a ▁real ▁compliment ▁and ▁you ▁are ▁on ▁the ▁same ▁wavelength ?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	CCONJ PROPN PROPN VERB PRON ADP DET ADJ NOUN CCONJ PRON VERB ADP DET ADJ NOUN NOUN
And he believes that it is precisely because black footballers know of each other's natural ability, that they are able to construct the most intricate and seemingly planned movements without any preparation at all : ‘ They 've got the receivers built into their heads and can pick each other up on the same wavelength.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	dashes	CCONJ PRON VERB ADP PRON VERB ADV ADP ADJ NOUN VERB ADP DET ADJ ADJ NOUN ADP PRON VERB ADJ PART VERB DET ADV ADJ CCONJ ADV VERB NOUN ADP DET NOUN ADV ADV PUNCT PUNCT PRON VERB VERB DET NOUN VERB ADP ADJ NOUN CCONJ VERB VERB DET ADJ PART ADP DET ADJ NOUN	▁And ▁he ▁believes ▁that ▁it ▁is ▁precisely ▁because ▁black ▁f ootball ers ▁know ▁of ▁each ▁other ' s ▁natural ▁ability , ▁that ▁they ▁are ▁able ▁to ▁construct ▁the ▁most ▁in tric ate ▁and ▁seem ing ly ▁planned ▁movements ▁without ▁any ▁preparation ▁at ▁all ▁ : ▁ ‘ ▁They ▁' ve ▁got ▁the ▁receivers ▁built ▁into ▁their ▁heads ▁and ▁can ▁pick ▁each ▁other ▁up ▁on ▁the ▁same ▁wavelength . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	CCONJ PRON VERB ADP PRON VERB ADV ADP ADJ NOUN NOUN NOUN VERB ADP DET ADJ ADJ ADJ ADJ NOUN NOUN ADP PRON VERB ADJ PART VERB DET ADV ADJ ADJ ADJ CCONJ ADV ADV ADV VERB NOUN ADP DET NOUN ADV ADV PUNCT PUNCT PUNCT PUNCT PRON VERB VERB VERB DET NOUN VERB ADP ADJ NOUN CCONJ VERB VERB DET ADJ PART ADP DET ADJ NOUN NOUN NOUN
They were on exactly the same wavelength as Massim d'Azeglio who said, after Italy had been politically unified : ' We have made Italy, now we have to make Italians ', that is out of the inhabitants of the peninsula who had all sorts of identities, but not one based on a language they did not speak, and a state that had come into existence over their heads.	0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the same wavelength	figurative	insertion-other	PRON VERB ADP ADV DET ADJ NOUN ADP PROPN PROPN NOUN VERB ADP PROPN VERB VERB ADV VERB PUNCT PUNCT PRON VERB VERB PROPN ADV PRON VERB PART VERB PROPN PART DET VERB ADP ADP DET NOUN ADP DET NOUN NOUN VERB DET NOUN ADP NOUN CCONJ ADV NUM VERB ADP DET NOUN PRON VERB ADV VERB CCONJ DET NOUN ADJ VERB VERB ADP NOUN ADP ADJ NOUN	▁They ▁were ▁on ▁exactly ▁the ▁same ▁wavelength ▁as ▁Mass im ▁d ' A ze g lio ▁who ▁said , ▁after ▁Italy ▁had ▁been ▁political ly ▁unified ▁ : ▁' ▁We ▁have ▁made ▁Italy , ▁now ▁we ▁have ▁to ▁make ▁Italian s ▁' , ▁that ▁is ▁out ▁of ▁the ▁inhabitants ▁of ▁the ▁peninsula ▁who ▁had ▁all ▁sorts ▁of ▁identities , ▁but ▁not ▁one ▁based ▁on ▁a ▁language ▁they ▁did ▁not ▁speak , ▁and ▁a ▁state ▁that ▁had ▁come ▁into ▁existence ▁over ▁their ▁heads .	0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP ADV DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB ADP PROPN VERB VERB ADV ADV VERB PUNCT PUNCT PUNCT PRON VERB VERB PROPN PROPN ADV PRON VERB PART VERB PROPN PROPN PART PART DET VERB ADP ADP DET NOUN ADP DET NOUN NOUN VERB DET NOUN ADP NOUN NOUN CCONJ ADV NUM VERB ADP DET NOUN PRON VERB ADV VERB VERB CCONJ DET NOUN ADJ VERB VERB ADP NOUN ADP ADJ NOUN NOUN
But every little detail seemed crucial and it was something I struggled with all the way through, but knowing that Cathy, Joan and I were all on the same wavelength and felt the same level of commitment was a great relief.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	on the same wavelength	figurative	identical	CCONJ DET ADJ NOUN VERB ADJ CCONJ PRON VERB NOUN PRON VERB ADP ADJ DET NOUN ADV CCONJ VERB ADP PROPN PROPN CCONJ PRON VERB ADV ADP DET ADJ NOUN CCONJ VERB DET ADJ NOUN ADP NOUN VERB DET ADJ NOUN	▁But ▁every ▁little ▁detail ▁seemed ▁crucial ▁and ▁it ▁was ▁something ▁I ▁struggle d ▁with ▁all ▁the ▁way ▁through , ▁but ▁knowing ▁that ▁Cat hy , ▁Jo an ▁and ▁I ▁were ▁all ▁on ▁the ▁same ▁wavelength ▁and ▁felt ▁the ▁same ▁level ▁of ▁commitment ▁was ▁a ▁great ▁relief .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET ADJ NOUN VERB ADJ CCONJ PRON VERB NOUN PRON VERB VERB ADP ADJ DET NOUN ADV ADV CCONJ VERB ADP PROPN PROPN PROPN PROPN PROPN CCONJ PRON VERB ADV ADP DET ADJ NOUN CCONJ VERB DET ADJ NOUN ADP NOUN VERB DET ADJ NOUN NOUN
And I thought it was because we seemed to be so much on the same wavelength.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	identical	CCONJ PRON VERB PRON VERB ADP PRON VERB PART VERB ADV ADJ ADP DET ADJ NOUN	▁And ▁I ▁thought ▁it ▁was ▁because ▁we ▁seemed ▁to ▁be ▁so ▁much ▁on ▁the ▁same ▁wavelength .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	CCONJ PRON VERB PRON VERB ADP PRON VERB PART VERB ADV ADJ ADP DET ADJ NOUN NOUN
‘ They would just see it as, It puts you on the same wavelength,’ Will laughs.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	on the same wavelength	figurative	dashes	PUNCT PRON VERB ADV VERB PRON ADP PRON VERB PRON ADP DET ADJ NOUN VERB NOUN	▁ ‘ ▁They ▁would ▁just ▁see ▁it ▁as , ▁It ▁puts ▁you ▁on ▁the ▁same ▁wavelength , ’ ▁Will ▁laugh s .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0	PUNCT PUNCT PRON VERB ADV VERB PRON ADP ADP PRON VERB PRON ADP DET ADJ NOUN NOUN NOUN VERB NOUN NOUN NOUN
The effect of jitter in a digital system is to reduce precision, clarity, stereo imagery and that curious and almost indefinable property normally described as ‘ timing’ and which loosely translates into a feeling that the musicians are not all on the same wavelength.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	identical	DET NOUN ADP NOUN ADP DET ADJ NOUN VERB PART VERB NOUN NOUN NOUN NOUN CCONJ ADV ADJ CCONJ ADV ADJ NOUN ADV VERB ADP PRON ADP CCONJ ADJ ADV VERB ADP DET NOUN ADP DET NOUN VERB ADV ADV ADP DET ADJ NOUN	▁The ▁effect ▁of ▁j itter ▁in ▁a ▁digital ▁system ▁is ▁to ▁reduce ▁precision , ▁clarity , ▁stereo ▁image ry ▁and ▁that ▁curious ▁and ▁almost ▁in de fin able ▁property ▁normally ▁described ▁as ▁ ‘ ▁timing ’ ▁and ▁which ▁loose ly ▁translate s ▁into ▁a ▁feeling ▁that ▁the ▁music ians ▁are ▁not ▁all ▁on ▁the ▁same ▁wavelength .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET NOUN ADP NOUN NOUN ADP DET ADJ NOUN VERB PART VERB NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ ADV ADJ CCONJ ADV ADJ ADJ ADJ ADJ NOUN ADV VERB ADP PRON PRON ADP ADP CCONJ ADJ ADV ADV VERB VERB ADP DET NOUN ADP DET NOUN NOUN VERB ADV ADV ADP DET ADJ NOUN NOUN
Once you have completed this, you can discuss it with your boss and ensure you are both on the same wavelength.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	identical	ADP PRON VERB VERB DET PRON VERB VERB PRON ADP ADJ NOUN CCONJ VERB PRON VERB DET ADP DET ADJ NOUN	▁Once ▁you ▁have ▁completed ▁this , ▁you ▁can ▁discuss ▁it ▁with ▁your ▁bo s s ▁and ▁ensure ▁you ▁are ▁both ▁on ▁the ▁same ▁wavelength .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP PRON VERB VERB DET DET PRON VERB VERB PRON ADP ADJ NOUN NOUN NOUN CCONJ VERB PRON VERB DET ADP DET ADJ NOUN NOUN
In face - to - face meetings all the visual signals are a great aid to getting on the same wavelength with someone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	on the same wavelength	figurative	identical	ADP NOUN PUNCT ADP PUNCT NOUN NOUN ADJ DET ADJ NOUN VERB DET ADJ NOUN ADP VERB ADP DET ADJ NOUN ADP NOUN	▁In ▁face ▁- ▁to ▁- ▁face ▁meetings ▁all ▁the ▁visual ▁signals ▁are ▁a ▁great ▁aid ▁to ▁gett ing ▁on ▁the ▁same ▁wavelength ▁with ▁someone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	ADP NOUN PUNCT ADP PUNCT NOUN NOUN ADJ DET ADJ NOUN VERB DET ADJ NOUN ADP VERB VERB ADP DET ADJ NOUN ADP NOUN NOUN
Somehow she 'd been expecting resistance, something she had frequently encountered with Graham Rowell whenever she had attempted anything new, and it came as a shock to find that she and David Markham were on the same wavelength.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	identical	ADV PRON VERB VERB VERB NOUN NOUN PRON VERB ADV VERB ADP PROPN PROPN ADV PRON VERB VERB NOUN ADJ CCONJ PRON VERB ADP DET NOUN PART VERB ADP PRON CCONJ PROPN PROPN VERB ADP DET ADJ NOUN	▁Some how ▁she ▁' d ▁been ▁expecting ▁resistance , ▁something ▁she ▁had ▁frequently ▁encountered ▁with ▁Gra ham ▁Ro well ▁whenever ▁she ▁had ▁attempted ▁anything ▁new , ▁and ▁it ▁came ▁as ▁a ▁shock ▁to ▁find ▁that ▁she ▁and ▁David ▁Mark ham ▁were ▁on ▁the ▁same ▁wavelength .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV ADV PRON VERB VERB VERB VERB NOUN NOUN NOUN PRON VERB ADV VERB ADP PROPN PROPN PROPN PROPN ADV PRON VERB VERB NOUN ADJ ADJ CCONJ PRON VERB ADP DET NOUN PART VERB ADP PRON CCONJ PROPN PROPN PROPN VERB ADP DET ADJ NOUN NOUN
For the moment, they were on the same wavelength.	0 0 0 0 0 1 0 1 1	on the same wavelength	figurative	identical	ADP DET NOUN PRON VERB ADP DET ADJ NOUN	▁For ▁the ▁moment , ▁they ▁were ▁on ▁the ▁same ▁wavelength .	0 0 0 0 0 0 1 0 1 1 1	ADP DET NOUN NOUN PRON VERB ADP DET ADJ NOUN NOUN
