Funny thing, heredity ; hit and miss.	0 0 0 0 1 1 1	hit and miss	figurative	identical	ADJ NOUN NOUN PUNCT VERB CCONJ VERB	▁F un ny ▁thing , ▁here d ity ▁ ; ▁hit ▁and ▁miss .	0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT VERB CCONJ VERB VERB
Sixth operation —(a ) finishers hang sliding doors, corridor parting and end doors, lavatory doors, fit squab and photo frames, compartment quarter panels, pillar facings, ' hit - and - miss ' vent regulators and compartment vent lights, and welt door mouldings ; also fit cornice mouldings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit and miss	figurative	dashes	ADJ NOUN ADV PUNCT NOUN VERB VERB NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN VERB NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT VERB PUNCT CCONJ PUNCT VERB PUNCT NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN PUNCT ADV VERB NOUN NOUN	▁Sixth ▁operation ▁ — ( a ▁ ) ▁finish ers ▁hang ▁sliding ▁doors , ▁corridor ▁part ing ▁and ▁end ▁doors , ▁ lav atory ▁doors , ▁fit ▁squa b ▁and ▁photo ▁frames , ▁compartment ▁quarter ▁panels , ▁pillar ▁facing s , ▁' ▁hit ▁- ▁and ▁- ▁miss ▁' ▁vent ▁regulators ▁and ▁compartment ▁vent ▁lights , ▁and ▁we lt ▁door ▁moulding s ▁ ; ▁also ▁fit ▁corn ice ▁moulding s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADV ADV ADV ADV PUNCT PUNCT NOUN NOUN VERB VERB NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT VERB PUNCT CCONJ PUNCT VERB PUNCT NOUN NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT ADV VERB NOUN NOUN NOUN NOUN NOUN
Even now, it can be hit and miss.	0 0 0 0 0 1 1 1	hit and miss	figurative	identical	ADV ADV PRON VERB VERB VERB CCONJ VERB	▁Even ▁now , ▁it ▁can ▁be ▁hit ▁and ▁miss .	0 0 0 0 0 0 1 1 1 1	ADV ADV ADV PRON VERB VERB VERB CCONJ VERB VERB
Babs was under too much of a strain trying to memorise her lines to be of help, and as for Dawn — well, unless the poor thing was actually wearing her glasses, the results could be decidedly hit and miss.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hit and miss	figurative	identical	NOUN VERB ADP ADV ADJ ADP DET NOUN VERB PART VERB ADJ NOUN PART VERB ADP NOUN CCONJ ADP ADP PROPN PUNCT INTJ ADP DET ADJ NOUN VERB ADV VERB ADJ NOUN DET NOUN VERB VERB ADV VERB CCONJ VERB	▁B ab s ▁was ▁under ▁too ▁much ▁of ▁a ▁strain ▁trying ▁to ▁memo rise ▁her ▁lines ▁to ▁be ▁of ▁help , ▁and ▁as ▁for ▁Da wn ▁ — ▁well , ▁unless ▁the ▁poor ▁thing ▁was ▁actually ▁wearing ▁her ▁glasses , ▁the ▁results ▁could ▁be ▁decided ly ▁hit ▁and ▁miss .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN NOUN VERB ADP ADV ADJ ADP DET NOUN VERB PART VERB VERB ADJ NOUN PART VERB ADP NOUN NOUN CCONJ ADP ADP PROPN PROPN PUNCT PUNCT INTJ INTJ ADP DET ADJ NOUN VERB ADV VERB ADJ NOUN NOUN DET NOUN VERB VERB ADV ADV VERB CCONJ VERB VERB
Such methods are very time consuming, somewhat " hit and miss " and very costly.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	hit and miss	figurative	identical	ADJ NOUN VERB ADV NOUN VERB ADV PUNCT VERB CCONJ VERB PUNCT CCONJ ADV ADJ	▁Such ▁methods ▁are ▁very ▁time ▁consuming , ▁somewhat ▁" ▁hit ▁and ▁miss ▁" ▁and ▁very ▁costly .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	ADJ NOUN VERB ADV NOUN VERB VERB ADV PUNCT VERB CCONJ VERB PUNCT CCONJ ADV ADJ ADJ
Leicester are on a high though this season while Forest are very hit and miss.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hit and miss	figurative	identical	NOUN VERB ADP DET ADJ ADP DET NOUN ADP PROPN VERB ADV VERB CCONJ VERB	▁Le ic ester ▁are ▁on ▁a ▁high ▁though ▁this ▁season ▁while ▁Forest ▁are ▁very ▁hit ▁and ▁miss .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN NOUN VERB ADP DET ADJ ADP DET NOUN ADP PROPN VERB ADV VERB CCONJ VERB VERB
Canvassing is usually done with a rather hit and miss approach.	0 0 0 0 0 0 0 1 1 1 0	hit and miss	figurative	identical	VERB VERB ADV VERB ADP DET ADV VERB CCONJ VERB NOUN	▁Can va s s ing ▁is ▁usually ▁done ▁with ▁a ▁rather ▁hit ▁and ▁miss ▁approach .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	VERB VERB VERB VERB VERB VERB ADV VERB ADP DET ADV VERB CCONJ VERB NOUN NOUN
My experience tells me that we do not all have all the necessary skills to do all these jobs well — it is often a hit and miss affair, with much poor practice.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	hit and miss	figurative	identical	ADJ NOUN VERB PRON ADP PRON VERB ADV ADV VERB ADJ DET ADJ NOUN PART VERB ADJ DET NOUN ADV PUNCT PRON VERB ADV DET NOUN CCONJ VERB NOUN ADP ADJ ADJ NOUN	▁My ▁experience ▁tells ▁me ▁that ▁we ▁do ▁not ▁all ▁have ▁all ▁the ▁necessary ▁skills ▁to ▁do ▁all ▁these ▁jobs ▁well ▁ — ▁it ▁is ▁often ▁a ▁hit ▁and ▁miss ▁affair , ▁with ▁much ▁poor ▁practice .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	ADJ NOUN VERB PRON ADP PRON VERB ADV ADV VERB ADJ DET ADJ NOUN PART VERB ADJ DET NOUN ADV PUNCT PUNCT PRON VERB ADV DET NOUN CCONJ VERB NOUN NOUN ADP ADJ ADJ NOUN NOUN
There was no hit and miss about it as can happen today where you can put a camera virtually anywhere and zoom into the position for any shot you want.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hit and miss	figurative	identical	ADV VERB DET NOUN CCONJ VERB ADP PRON ADP VERB VERB NOUN ADV PRON VERB VERB DET NOUN ADV ADV CCONJ VERB ADP DET NOUN ADP DET NOUN PRON VERB	▁There ▁was ▁no ▁hit ▁and ▁miss ▁about ▁it ▁as ▁can ▁happen ▁today ▁where ▁you ▁can ▁put ▁a ▁camera ▁virtual ly ▁anywhere ▁and ▁zoo m ▁into ▁the ▁position ▁for ▁any ▁shot ▁you ▁want .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN CCONJ VERB ADP PRON ADP VERB VERB NOUN ADV PRON VERB VERB DET NOUN ADV ADV ADV CCONJ VERB VERB ADP DET NOUN ADP DET NOUN PRON VERB VERB
We approach it in a hit - and - miss sort of way instead of through a systematic communication programme.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	hit and miss	figurative	dashes	PRON VERB PRON ADP DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP NOUN ADV ADP ADP DET ADJ NOUN NOUN	▁We ▁approach ▁it ▁in ▁a ▁hit ▁- ▁and ▁- ▁miss ▁sort ▁of ▁way ▁instead ▁of ▁through ▁a ▁systematic ▁communication ▁programme .	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON ADP DET VERB PUNCT CCONJ PUNCT VERB NOUN ADP NOUN ADV ADP ADP DET ADJ NOUN NOUN NOUN
There is, of course, a difference between companionship and true mutual friendship and these schemes can be rather hit - and - miss in matching the ‘ befriender’ and the target.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0	hit and miss	figurative	dashes	ADV VERB ADP NOUN DET NOUN ADP NOUN CCONJ ADJ ADJ NOUN CCONJ DET NOUN VERB VERB ADV VERB PUNCT CCONJ PUNCT VERB ADP VERB DET ADJ NOUN CCONJ DET NOUN	▁There ▁is , ▁of ▁course , ▁a ▁difference ▁between ▁companion ship ▁and ▁true ▁mutual ▁friendship ▁and ▁these ▁schemes ▁can ▁be ▁rather ▁hit ▁- ▁and ▁- ▁miss ▁in ▁matching ▁the ▁ ‘ ▁be fri ender ’ ▁and ▁the ▁target .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB VERB ADP NOUN NOUN DET NOUN ADP NOUN NOUN CCONJ ADJ ADJ NOUN CCONJ DET NOUN VERB VERB ADV VERB PUNCT CCONJ PUNCT VERB ADP VERB DET ADJ ADJ NOUN NOUN NOUN NOUN CCONJ DET NOUN NOUN
