And the, the swaying of the ship and I used to sleep like a log.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sleep like a log	figurative	identical	CCONJ DET DET NOUN ADP DET NOUN CCONJ PRON VERB PART VERB ADP DET NOUN	▁And ▁the , ▁the ▁s way ing ▁of ▁the ▁ship ▁and ▁I ▁used ▁to ▁sleep ▁like ▁a ▁log .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ DET DET DET NOUN NOUN NOUN ADP DET NOUN CCONJ PRON VERB PART VERB ADP DET NOUN NOUN
Sl slept like a log!	0 1 1 0 1	sleep like a log	figurative	inflection	PROPN VERB ADP DET NOUN	▁S l ▁sl ept ▁like ▁a ▁log !	0 0 1 1 1 0 1 1	PROPN PROPN VERB VERB ADP DET NOUN NOUN
I sleep like a log — a clear conscience.’	0 1 1 0 1 0 0 0 0	sleep like a log	figurative	identical	PRON VERB ADP DET NOUN PUNCT DET ADJ NOUN	▁I ▁sleep ▁like ▁a ▁log ▁ — ▁a ▁clear ▁conscience . ’	0 1 1 0 1 0 0 0 0 0 0 0	PRON VERB ADP DET NOUN PUNCT PUNCT DET ADJ NOUN NOUN NOUN
before it stopped and then of course I slept like a bloody log until about twenty past seven	0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0	sleep like a log	figurative	combined-inflection	ADP PRON VERB CCONJ ADV ADP NOUN PRON VERB ADP DET ADJ NOUN ADP ADV NUM ADJ NUM	▁before ▁it ▁stopped ▁and ▁then ▁of ▁course ▁I ▁sl ept ▁like ▁a ▁blood y ▁log ▁until ▁about ▁twenty ▁past ▁seven	0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0	ADP PRON VERB CCONJ ADV ADP NOUN PRON VERB VERB ADP DET ADJ ADJ NOUN ADP ADV NUM ADJ NUM
Yeah, she sle, little Zoe sat on her lap and just slept like a log, she was obviously tired.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	sleep like a log	figurative	inflection	INTJ PRON ADP ADJ PROPN VERB ADP ADJ NOUN CCONJ ADV VERB ADP DET NOUN PRON VERB ADV ADJ	▁Ye ah , ▁she ▁sl e , ▁little ▁Zo e ▁sat ▁on ▁her ▁lap ▁and ▁just ▁sl ept ▁like ▁a ▁log , ▁she ▁was ▁obviously ▁tired .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0	INTJ INTJ INTJ PRON ADP ADP ADP ADJ PROPN PROPN VERB ADP ADJ NOUN CCONJ ADV VERB VERB ADP DET NOUN NOUN PRON VERB ADV ADJ ADJ
I slept like a log last night.	0 1 1 0 1 0 0	sleep like a log	figurative	inflection	PRON VERB ADP DET NOUN ADJ NOUN	▁I ▁sl ept ▁like ▁a ▁log ▁last ▁night .	0 1 1 1 0 1 0 0 0	PRON VERB VERB ADP DET NOUN ADJ NOUN NOUN
The weather was damp and chilly but the sleeping bag felt mighty good and I made it through the first night, sleeping like a log.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sleep like a log	figurative	inflection	DET NOUN VERB ADJ CCONJ ADJ CCONJ DET VERB NOUN VERB ADV ADJ CCONJ PRON VERB PRON ADP DET ADJ NOUN VERB ADP DET NOUN	▁The ▁weather ▁was ▁damp ▁and ▁chill y ▁but ▁the ▁sleeping ▁bag ▁felt ▁mighty ▁good ▁and ▁I ▁made ▁it ▁through ▁the ▁first ▁night , ▁sleeping ▁like ▁a ▁log .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET NOUN VERB ADJ CCONJ ADJ ADJ CCONJ DET VERB NOUN VERB ADV ADJ CCONJ PRON VERB PRON ADP DET ADJ NOUN NOUN VERB ADP DET NOUN NOUN
Everyone retired early that night and I, for one, slept like a log.	0 0 0 0 0 0 0 0 0 1 1 0 1	sleep like a log	figurative	inflection	NOUN VERB ADV DET NOUN CCONJ PRON ADP NUM VERB ADP DET NOUN	▁Every one ▁retired ▁early ▁that ▁night ▁and ▁I , ▁for ▁one , ▁sl ept ▁like ▁a ▁log .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	NOUN NOUN VERB ADV DET NOUN CCONJ PRON PRON ADP NUM NUM VERB VERB ADP DET NOUN NOUN
and er, it was gone eleven I would of thought, anyway he stopped and I slept like a log, got up at twenty past six, but erm, it's a strange thing because one of those came last evening and it parked outside George's, now I said yesterday, when Alan goes to work, it's not long after six normally to go up to London and that	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sleep like a log	figurative	inflection	CCONJ INTJ PRON VERB VERB NUM PRON VERB ADP NOUN ADV PRON VERB CCONJ PRON VERB ADP DET NOUN VERB PART ADP NUM NOUN NUM CCONJ ADV PRON DET ADJ NOUN ADP NUM ADP DET VERB ADJ NOUN CCONJ PRON VERB ADP PROPN ADV PRON VERB NOUN ADV PROPN VERB ADP NOUN PRON ADV ADJ ADP NUM ADV PART VERB PART ADP PROPN CCONJ ADP	▁and ▁er , ▁it ▁was ▁gone ▁eleven ▁I ▁would ▁of ▁thought , ▁anyway ▁he ▁stopped ▁and ▁I ▁sl ept ▁like ▁a ▁log , ▁got ▁up ▁at ▁twenty ▁past ▁six , ▁but ▁er m , ▁it ' s ▁a ▁strange ▁thing ▁because ▁one ▁of ▁those ▁came ▁last ▁evening ▁and ▁it ▁park ed ▁outside ▁George ' s , ▁now ▁I ▁said ▁yesterday , ▁when ▁A lan ▁goes ▁to ▁work , ▁it ' s ▁not ▁long ▁after ▁six ▁normally ▁to ▁go ▁up ▁to ▁London ▁and ▁that	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ INTJ INTJ PRON VERB VERB NUM PRON VERB ADP NOUN NOUN ADV PRON VERB CCONJ PRON VERB VERB ADP DET NOUN NOUN VERB PART ADP NUM NOUN NUM NUM CCONJ ADV ADV ADV PRON PRON PRON DET ADJ NOUN ADP NUM ADP DET VERB ADJ NOUN CCONJ PRON VERB VERB ADP PROPN PROPN PROPN PROPN ADV PRON VERB NOUN NOUN ADV PROPN PROPN VERB ADP NOUN NOUN PRON PRON PRON ADV ADJ ADP NUM ADV PART VERB PART ADP PROPN CCONJ ADP
‘ He slept like a log and when he got up in the morning and saw the car had gone he was very upset,’ said a source.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sleep like a log	figurative	inflection	PUNCT PRON VERB ADP DET NOUN CCONJ ADV PRON VERB PART ADP DET NOUN CCONJ VERB DET NOUN VERB VERB PRON VERB ADV NOUN VERB DET NOUN	▁ ‘ ▁He ▁sl ept ▁like ▁a ▁log ▁and ▁when ▁he ▁got ▁up ▁in ▁the ▁morning ▁and ▁saw ▁the ▁car ▁had ▁gone ▁he ▁was ▁very ▁upset , ’ ▁said ▁a ▁source .	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB ADP DET NOUN CCONJ ADV PRON VERB PART ADP DET NOUN CCONJ VERB DET NOUN VERB VERB PRON VERB ADV NOUN NOUN NOUN VERB DET NOUN NOUN
Your mother used to sleep like a log	0 0 0 0 1 1 0 1	sleep like a log	figurative	identical	ADJ NOUN VERB PART VERB ADP DET NOUN	▁Your ▁mother ▁used ▁to ▁sleep ▁like ▁a ▁log	0 0 0 0 1 1 0 1	ADJ NOUN VERB PART VERB ADP DET NOUN
I sleep like a log and never get indigestion.	0 1 1 0 1 0 0 0 0	sleep like a log	figurative	identical	PRON VERB ADP DET NOUN CCONJ ADV VERB NOUN	▁I ▁sleep ▁like ▁a ▁log ▁and ▁never ▁get ▁indi gestion .	0 1 1 0 1 0 0 0 0 0 0	PRON VERB ADP DET NOUN CCONJ ADV VERB NOUN NOUN NOUN
