CAST YOUR minds back, readers, to the Reading Festival.	1 1 1 1 0 0 0 0 0	cast your mind back	figurative	combined-inflection	VERB ADJ NOUN ADV NOUN ADP DET PROPN PROPN	▁C AST ▁YOU R ▁minds ▁back , ▁readers , ▁to ▁the ▁Read ing ▁F est ival .	1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	VERB VERB ADJ ADJ NOUN ADV ADV NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN
Cast your mind back to my description of the girl in the coffee bar, the one I gazed at earlier on in this long night, the coldest night of the year.	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	case	VERB ADJ NOUN ADV ADP ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN DET NOUN PRON VERB ADP ADV ADV ADP DET ADJ NOUN DET ADJ NOUN ADP DET NOUN	▁Cast ▁your ▁mind ▁back ▁to ▁my ▁description ▁of ▁the ▁girl ▁in ▁the ▁coffee ▁bar , ▁the ▁one ▁I ▁g az ed ▁at ▁earlier ▁on ▁in ▁this ▁long ▁night , ▁the ▁cold est ▁night ▁of ▁the ▁year .	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN ADV ADP ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN DET NOUN PRON VERB VERB VERB ADP ADV ADV ADP DET ADJ NOUN NOUN DET ADJ ADJ NOUN ADP DET NOUN NOUN
‘ If you cast your mind back, you 'll remember that it was your idea to come to Oxford this weekend.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	identical	PUNCT ADP PRON VERB ADJ NOUN ADV PRON VERB VERB ADP PRON VERB ADJ NOUN PART VERB ADP PROPN DET NOUN	▁ ‘ ▁If ▁you ▁cast ▁your ▁mind ▁back , ▁you ▁' ll ▁remember ▁that ▁it ▁was ▁your ▁idea ▁to ▁come ▁to ▁Oxford ▁this ▁weekend .	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB ADJ NOUN ADV ADV PRON VERB VERB VERB ADP PRON VERB ADJ NOUN PART VERB ADP PROPN DET NOUN NOUN
And if you cast your minds way back to Tuesday you will remember that what I said was that the Americans were trying to create a system of limited government er and yet one which er protected the liberties of individuals not all individuals, not black individuals especially but of individuals, this was the rhetoric of the time and the main device that they invented to do this was something called the separation of powers and they argued that, where political power is concentrated, the potential for abuse is greater so that where executive and legislative powers are held in the same hands, as they are in our system of government, the, there is more prospect of government encroaching upon the rights of individuals.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	combined-inflection	CCONJ ADP PRON VERB ADJ NOUN ADV ADV ADP PROPN PRON VERB VERB ADP NOUN PRON VERB VERB ADP DET PROPN VERB VERB PART VERB DET NOUN ADP ADJ NOUN INTJ CCONJ ADV NUM ADJ INTJ VERB DET NOUN ADP NOUN ADV DET NOUN ADV ADJ NOUN ADV CCONJ ADP NOUN DET VERB DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADJ PRON VERB PART VERB DET VERB NOUN VERB DET NOUN ADP NOUN CCONJ PRON VERB ADP ADV ADJ NOUN VERB VERB DET NOUN ADP NOUN VERB ADJ ADP ADP ADV ADJ CCONJ ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP PRON VERB ADP ADJ NOUN ADP NOUN DET ADV VERB ADJ NOUN ADP NOUN VERB ADP DET NOUN ADP NOUN	▁And ▁if ▁you ▁cast ▁your ▁minds ▁way ▁back ▁to ▁Tuesday ▁you ▁will ▁remember ▁that ▁what ▁I ▁said ▁was ▁that ▁the ▁Americans ▁were ▁trying ▁to ▁create ▁a ▁system ▁of ▁limited ▁government ▁er ▁and ▁yet ▁one ▁which ▁er ▁protected ▁the ▁liberties ▁of ▁individuals ▁not ▁all ▁individuals , ▁not ▁black ▁individuals ▁especially ▁but ▁of ▁individuals , ▁this ▁was ▁the ▁rhe toric ▁of ▁the ▁time ▁and ▁the ▁main ▁device ▁that ▁they ▁in vented ▁to ▁do ▁this ▁was ▁something ▁called ▁the ▁separation ▁of ▁powers ▁and ▁they ▁argued ▁that , ▁where ▁political ▁power ▁is ▁concentrated , ▁the ▁potential ▁for ▁abuse ▁is ▁greater ▁so ▁that ▁where ▁executive ▁and ▁legislative ▁powers ▁are ▁held ▁in ▁the ▁same ▁hands , ▁as ▁they ▁are ▁in ▁our ▁system ▁of ▁government , ▁the , ▁there ▁is ▁more ▁prospect ▁of ▁government ▁encroach ing ▁upon ▁the ▁rights ▁of ▁individuals .	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PRON VERB ADJ NOUN ADV ADV ADP PROPN PRON VERB VERB ADP NOUN PRON VERB VERB ADP DET PROPN VERB VERB PART VERB DET NOUN ADP ADJ NOUN INTJ CCONJ ADV NUM ADJ INTJ VERB DET NOUN ADP NOUN ADV DET NOUN NOUN ADV ADJ NOUN ADV CCONJ ADP NOUN NOUN DET VERB DET NOUN NOUN ADP DET NOUN CCONJ DET ADJ NOUN ADJ PRON VERB VERB PART VERB DET VERB NOUN VERB DET NOUN ADP NOUN CCONJ PRON VERB ADP ADP ADV ADJ NOUN VERB VERB VERB DET NOUN ADP NOUN VERB ADJ ADP ADP ADV ADJ CCONJ ADJ NOUN VERB VERB ADP DET ADJ NOUN NOUN ADP PRON VERB ADP ADJ NOUN ADP NOUN NOUN DET DET ADV VERB ADJ NOUN ADP NOUN VERB VERB ADP DET NOUN ADP NOUN NOUN
If you cast your mind back to when we first spoke and how we build our business by word of mouth introductions, I 'd like the opportunity of meeting one or two of your colleagues and introducing them to our service.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	identical	ADP PRON VERB ADJ NOUN ADV ADP ADV PRON ADV VERB CCONJ ADV PRON VERB ADJ NOUN ADP NOUN ADP NOUN NOUN PRON VERB VERB DET NOUN ADP VERB NUM CCONJ NUM ADP ADJ NOUN CCONJ VERB PRON ADP ADJ NOUN	▁If ▁you ▁cast ▁your ▁mind ▁back ▁to ▁when ▁we ▁first ▁spoke ▁and ▁how ▁we ▁build ▁our ▁business ▁by ▁word ▁of ▁mouth ▁introduction s , ▁I ▁' d ▁like ▁the ▁opportunity ▁of ▁meeting ▁one ▁or ▁two ▁of ▁your ▁colleagues ▁and ▁introducing ▁them ▁to ▁our ▁service .	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADJ NOUN ADV ADP ADV PRON ADV VERB CCONJ ADV PRON VERB ADJ NOUN ADP NOUN ADP NOUN NOUN NOUN NOUN PRON VERB VERB VERB DET NOUN ADP VERB NUM CCONJ NUM ADP ADJ NOUN CCONJ VERB PRON ADP ADJ NOUN NOUN
First, however, cast your mind back to the lunar eclipse on August 6th because, by all the laws of astrology, the only road for you to travel was then clearly signposted.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	identical	ADV ADV VERB ADJ NOUN ADV ADP DET ADJ NOUN ADP PROPN NOUN ADP ADP ADJ DET NOUN ADP NOUN DET ADJ NOUN ADP PRON PART VERB VERB ADV ADV VERB	▁First , ▁however , ▁cast ▁your ▁mind ▁back ▁to ▁the ▁lu nar ▁ec lip se ▁on ▁August ▁6 th ▁because , ▁by ▁all ▁the ▁laws ▁of ▁a str ology , ▁the ▁only ▁road ▁for ▁you ▁to ▁travel ▁was ▁then ▁clearly ▁sign post ed .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADV VERB ADJ NOUN ADV ADP DET ADJ ADJ NOUN NOUN NOUN ADP PROPN NOUN NOUN ADP ADP ADP ADJ DET NOUN ADP NOUN NOUN NOUN NOUN DET ADJ NOUN ADP PRON PART VERB VERB ADV ADV VERB VERB VERB VERB
Cast your minds back, last week we were looking at the relationship between price elasticity of demand and marginal revenue, and what that relationship could tell us about er prices and total revenue in an industry.	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	combined-inflection	VERB ADJ NOUN ADV ADJ NOUN PRON VERB VERB ADP DET NOUN ADP NOUN NOUN ADP NOUN CCONJ ADJ NOUN CCONJ NOUN ADP NOUN VERB VERB PRON ADP INTJ NOUN CCONJ ADJ NOUN ADP DET NOUN	▁Cast ▁your ▁minds ▁back , ▁last ▁week ▁we ▁were ▁looking ▁at ▁the ▁relationship ▁between ▁price ▁elasticity ▁of ▁demand ▁and ▁marginal ▁revenue , ▁and ▁what ▁that ▁relationship ▁could ▁tell ▁us ▁about ▁er ▁prices ▁and ▁total ▁revenue ▁in ▁an ▁industry .	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN ADV ADV ADJ NOUN PRON VERB VERB ADP DET NOUN ADP NOUN NOUN ADP NOUN CCONJ ADJ NOUN NOUN CCONJ NOUN ADP NOUN VERB VERB PRON ADP INTJ NOUN CCONJ ADJ NOUN ADP DET NOUN NOUN
Cast your minds back a few weeks.	1 1 1 1 0 0 0	cast your mind back	figurative	combined-inflection	VERB ADJ NOUN ADV DET ADJ NOUN	▁Cast ▁your ▁minds ▁back ▁a ▁few ▁weeks .	1 1 1 1 0 0 0 0	VERB ADJ NOUN ADV DET ADJ NOUN NOUN
hopefully it's gon na be some form of positive response I 'm glad you should say that because if you cast your mind back to when we first talked I did say that if you were happy, and only if you 're happy,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	identical	ADV PRON VERB PART VERB DET NOUN ADP ADJ NOUN PRON VERB ADJ PRON VERB VERB ADP ADP ADP PRON VERB ADJ NOUN ADV ADP ADV PRON ADV VERB PRON VERB VERB ADP ADP PRON VERB ADJ CCONJ ADV ADP PRON VERB ADJ	▁hopeful ly ▁it ' s ▁ gon ▁na ▁be ▁some ▁form ▁of ▁positive ▁response ▁I ▁' m ▁glad ▁you ▁should ▁say ▁that ▁because ▁if ▁you ▁cast ▁your ▁mind ▁back ▁to ▁when ▁we ▁first ▁talked ▁I ▁did ▁say ▁that ▁if ▁you ▁were ▁happy , ▁and ▁only ▁if ▁you ▁' re ▁happy ,	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON PRON PRON VERB VERB PART VERB DET NOUN ADP ADJ NOUN PRON VERB VERB ADJ PRON VERB VERB ADP ADP ADP PRON VERB ADJ NOUN ADV ADP ADV PRON ADV VERB PRON VERB VERB ADP ADP PRON VERB ADJ ADJ CCONJ ADV ADP PRON VERB VERB ADJ ADJ
Now if you cast your mind back to when we started the er discussion I did say I would talk about refer erm recommendations to you if you felt that this meeting had been of some benefit to yourself	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cast your mind back	figurative	identical	ADV ADP PRON VERB ADJ NOUN ADV ADP ADV PRON VERB DET INTJ NOUN PRON VERB VERB PRON VERB VERB ADP VERB ADJ NOUN ADP PRON ADP PRON VERB ADP DET NOUN VERB VERB ADP DET NOUN ADP PRON	▁Now ▁if ▁you ▁cast ▁your ▁mind ▁back ▁to ▁when ▁we ▁started ▁the ▁er ▁discussion ▁I ▁did ▁say ▁I ▁would ▁talk ▁about ▁refer ▁er m ▁recommendations ▁to ▁you ▁if ▁you ▁felt ▁that ▁this ▁meeting ▁had ▁been ▁of ▁some ▁benefit ▁to ▁yourself	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP PRON VERB ADJ NOUN ADV ADP ADV PRON VERB DET INTJ NOUN PRON VERB VERB PRON VERB VERB ADP VERB ADJ ADJ NOUN ADP PRON ADP PRON VERB ADP DET NOUN VERB VERB ADP DET NOUN ADP PRON
Q : Cast your mind back : what built that young body of yours?	0 0 1 1 1 1 0 0 0 0 0 0 0 0	cast your mind back	figurative	case	NOUN PUNCT VERB ADJ NOUN ADV PUNCT NOUN VERB ADP ADJ NOUN ADP PRON	▁Q ▁ : ▁Cast ▁your ▁mind ▁back ▁ : ▁what ▁built ▁that ▁young ▁body ▁of ▁your s ?	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	NOUN PUNCT PUNCT VERB ADJ NOUN ADV PUNCT PUNCT NOUN VERB ADP ADJ NOUN ADP PRON PRON PRON
