It leads to the Gulag, you know, and is patriarchal to boot(translation : Marx had a beard ).	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	to boot	figurative	insertion-determiner	PRON VERB ADP DET PROPN PRON VERB CCONJ VERB ADJ ADP NOUN PUNCT PROPN VERB DET NOUN PUNCT
In fact it's Oxford 93 and a rehearsal to boot.	0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADP NOUN PRON PROPN NUM CCONJ DET NOUN ADP NOUN
He was dressed in a long blue robe which reached down to snow - flecked boots.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	to boot	literal	combined-inflection	PRON VERB VERB ADP DET ADJ ADJ NOUN ADJ VERB PART ADP NOUN PUNCT VERB NOUN
A well - brought - up young lady and a virgin to boot shouldn't be having such thoughts.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	to boot	figurative	identical	DET ADV PUNCT VERB PUNCT PART ADJ NOUN CCONJ DET NOUN ADP NOUN VERB VERB VERB ADJ NOUN
And a rather malicious lucky guess to boot.	0 0 0 0 0 0 1 1	to boot	figurative	identical	CCONJ DET ADV ADJ ADJ NOUN ADP NOUN
The only time I took off was the last week of June and the first week in July to watch Wimbledon — yes, we finally bought a TV, and a coloured one to boot, which seemed the height of posh.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	to boot	figurative	identical	DET ADJ NOUN PRON VERB PART VERB DET ADJ NOUN ADP PROPN CCONJ DET ADJ NOUN ADP PROPN PART VERB PROPN PUNCT INTJ PRON ADV VERB DET NOUN CCONJ DET ADJ NOUN ADP NOUN ADJ VERB DET NOUN ADP ADJ
If you like a challenge — and the chance of a £ 5,000 prize to boot— The Key To The Kingdom ( Pavilion Books, £ 12.99 ) will keep you occupied for many an hour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	dashes	ADP PRON VERB DET NOUN PUNCT CCONJ DET NOUN ADP DET SYM NUM NOUN ADP NOUN DET PROPN PROPN DET PROPN PUNCT PROPN PROPN SYM NUM PUNCT VERB VERB PRON VERB ADP ADJ DET NOUN
In particular, foam - breathing could make smoking a less anti - social habit, and more economical to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADP ADJ NOUN PUNCT NOUN VERB VERB VERB DET ADV ADV PUNCT ADJ NOUN CCONJ ADV ADJ ADP NOUN
Gone is the girlie - girlie image of yesteryear … the dynamic duo Pepsi and Shirlie are back — with a new look and single to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	VERB VERB DET NOUN PUNCT NOUN NOUN ADP NOUN PUNCT DET ADJ NOUN PROPN CCONJ PROPN VERB ADV PUNCT ADP DET ADJ NOUN CCONJ ADJ ADP NOUN
If so you should make the eggception — it's a good egg ( honest ) and a right good game to boot!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADP ADV PRON VERB VERB DET NOUN PUNCT PRON DET ADJ NOUN PUNCT ADJ PUNCT CCONJ DET ADJ ADJ NOUN ADP NOUN
But if your thirty, that s ninety in horse years, and a survivor of a bomb blast to boot, maybe there's no better birthday treat, than a quiet feed on fresh hay.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	identical	CCONJ ADP ADJ NUM DET VERB NUM ADP NOUN NOUN CCONJ DET NOUN ADP DET NOUN NOUN ADP NOUN ADV ADV DET ADJ NOUN NOUN ADP DET ADJ NOUN ADP ADJ NOUN
Worse still, on attempting to boot from the C drive, we were faced with a ‘ Harddisk Drive Controller Failure’ message.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	identical	ADJ ADV ADP VERB ADP NOUN ADP DET PROPN NOUN PRON VERB VERB ADP DET PUNCT PROPN PROPN PROPN PROPN NOUN
To boot, we have been told that government is so clever that it might even make money on the whole affair.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	case	ADP NOUN PRON VERB VERB VERB DET NOUN VERB ADV ADJ ADP PRON VERB ADV VERB NOUN ADP DET ADJ NOUN
He said McPherson had stopped a few hundred yards on, gone to the boot of his car, returned and suggested they go back to Tarbert.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	to boot	literal	insertion-determiner	PRON VERB PROPN VERB VERB DET ADJ NUM NOUN ADP VERB ADP DET NOUN ADP ADJ NOUN VERB CCONJ VERB PRON VERB ADV ADP PROPN
I decided you must be hard, self - seeking, ambitious to the point of ruthlessness, and immoral to boot.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	dashes	PRON VERB PRON VERB VERB ADJ NOUN PUNCT VERB ADJ ADP DET NOUN ADP NOUN CCONJ ADJ PART VERB
Also vital is the ability to create a key disk, which you can use to boot from should you lose the real key.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	to boot	literal	identical	ADV ADJ VERB DET NOUN PART VERB DET ADJ NOUN ADJ PRON VERB VERB ADP NOUN ADP VERB PRON VERB DET ADJ NOUN
I 'd missed the World Cup draw on TV to boot.	0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PRON VERB VERB DET PROPN PROPN VERB ADP NOUN ADP NOUN
‘ And a filthy temper to boot,’ Athelstan thought, but decided to keep his own counsel.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	to boot	figurative	dashes	PUNCT CCONJ DET ADJ NOUN ADP VERB PROPN NOUN CCONJ VERB PART VERB ADJ ADJ NOUN
A colourless non - softening wax giving abrasion - resistant waterproof coating to leather boots.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to boot	literal	combined-inflection	DET NOUN ADJ PUNCT VERB NOUN VERB NOUN PUNCT ADJ NOUN VERB ADP NOUN NOUN
They are definitely more suited to plastic boots with a rigid sole and pronounced welts at the toe and heel for the bails ( Fig 3 ), but there are still some drawbacks, and they can come off.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to boot	figurative	combined-inflection	PRON VERB ADV ADV ADJ ADP ADJ NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN PUNCT NOUN NUM PUNCT CCONJ ADV VERB ADV DET NOUN CCONJ PRON VERB VERB PART
Married off and with a couple of babies to boot.	0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	ADJ PART CCONJ ADP DET NOUN ADP NOUN ADP NOUN
‘ Third Term’(Deltic ) Re - released as a 12-inch, with the added bonus of a stunning acoustic version of ‘ The Newshound’(an acute portrayal of the scum that litter the daily tabloids)— and rightly so, because quite frankly this puts 90 per cent of single released this year into the shade and kicks them in the teeth to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PUNCT PROPN NOUN PUNCT ADP PUNCT VERB ADP DET NUM ADP DET VERB NOUN ADP DET ADJ ADJ NOUN ADP PUNCT DET PROPN ADJ NOUN ADP DET NOUN ADJ NOUN DET ADJ NOUN CCONJ ADV ADV ADP ADV ADV DET VERB NUM ADP NOUN ADP ADJ VERB DET NOUN ADP DET NOUN CCONJ VERB PRON ADP DET NOUN ADP NOUN
I don't like it here very much, not at the moment, I said, no doubt sounding like a dangerous recluse and a chauvinist to boot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	to boot	figurative	identical	PRON VERB VERB PRON ADV ADV ADV ADV ADP DET NOUN PRON VERB ADV ADV VERB ADP DET ADJ NOUN CCONJ DET NOUN ADP NOUN
