But the temptations of the Flesh were different : they could not be dealt with in cold blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	CCONJ DET NOUN ADP DET PROPN VERB ADJ PUNCT PRON VERB ADV VERB VERB ADP ADP ADJ NOUN
He was shot in cold blood.’	0 0 0 1 1 1	in cold blood	figurative	dashes	PRON VERB VERB ADP ADJ NOUN
Four generations of Glynns, and the fourth of the dynasty had got himself murdered in his own office ; no heat - of - the - moment crime either, but a carefully planned murder executed in cold blood out of hatred, or fear, or obsessive greed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	NUM NOUN ADP PROPN CCONJ DET ADJ ADP DET NOUN VERB VERB PRON VERB ADP ADJ ADJ NOUN PUNCT DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN NOUN ADV CCONJ DET ADV VERB NOUN VERB ADP ADJ NOUN ADP ADP NOUN CCONJ NOUN CCONJ NOUN NOUN
He tried to keep his voice firm, but the thought of actually having to kill the man in cold blood numbed him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	in cold blood	figurative	identical	PRON VERB PART VERB ADJ NOUN NOUN CCONJ DET NOUN ADP ADV VERB PART VERB DET NOUN ADP ADJ NOUN VERB PRON
It says it's wrong that a judge should have to pass the same sentence on an abused wife who kills a brutal husband as it does on a robber armed with a shotgun who kills in cold blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	PRON VERB PRON ADJ ADP DET NOUN VERB VERB PART VERB DET ADJ NOUN ADP DET VERB NOUN NOUN VERB DET ADJ NOUN ADP PRON VERB ADP DET NOUN VERB ADP DET NOUN NOUN VERB ADP ADJ NOUN
Presumably not the minor detail that young Anne was a designing little minx who married Henry in cold blood to further her own ambitions — and then didn't even have the sense or decency to stand by her bargain.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	ADV ADV DET ADJ NOUN ADJ ADJ PROPN VERB DET VERB ADJ NOUN NOUN VERB PROPN ADP ADJ NOUN PART VERB ADJ ADJ NOUN PUNCT CCONJ ADV VERB ADV VERB DET NOUN CCONJ NOUN PART VERB ADP ADJ NOUN
They were shot down in cold blood with their friends, by the KGB.’	0 0 0 0 1 1 1 0 0 0 0 0 0	in cold blood	figurative	identical	PRON VERB VERB PART ADP ADJ NOUN ADP ADJ NOUN ADP DET PROPN
He had killed three French officers in cold blood.	0 0 0 0 0 0 1 1 1	in cold blood	figurative	identical	PRON VERB VERB NUM ADJ NOUN ADP ADJ NOUN
His wife and daughter were mugged and raped and he set out on a trail of revenge killings in cold blood, making himself bait for the muggers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	in cold blood	figurative	identical	ADJ NOUN CCONJ NOUN VERB VERB CCONJ VERB CCONJ PRON VERB PART ADP DET NOUN ADP NOUN NOUN ADP ADJ NOUN VERB PRON NOUN ADP DET NOUN
It did not come to his mind to murder any of them ; it was not his way, or the way he had been raised, to take life in cold blood, without a formal challenge or warning, without the necessary ritual preparation for combat and maybe death.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	PRON VERB ADV VERB ADP ADJ NOUN PART VERB DET ADP PRON PUNCT PRON VERB ADV ADJ NOUN CCONJ DET NOUN PRON VERB VERB VERB PART VERB NOUN ADP ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN ADP NOUN CCONJ ADV NOUN
Killed him in cold blood.	0 0 1 1 1	in cold blood	figurative	identical	VERB PRON ADP ADJ NOUN
Yet soon after his enthronement, Romero's close friend Fr Grande and two parishioners were callously shot in cold blood by security forces.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	in cold blood	figurative	identical	ADV ADV ADP ADJ NOUN PROPN ADJ NOUN PROPN PROPN CCONJ NUM NOUN VERB ADV VERB ADP ADJ NOUN ADP NOUN NOUN
It never occurred to me for a moment that she had planned it all in cold blood.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in cold blood	figurative	dashes	PRON ADV VERB ADP PRON ADP DET NOUN ADJ PRON VERB VERB PRON DET ADP ADJ NOUN
She 'd never spanked a man in cold blood before.	0 0 0 0 0 0 1 1 1 0	in cold blood	figurative	identical	PRON VERB ADV VERB DET NOUN ADP ADJ NOUN ADV
A deed planned in cold blood may appear very different to the perpetrator if he ever gets round to carrying it out.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	DET NOUN VERB ADP ADJ NOUN VERB VERB ADV ADJ ADP DET NOUN ADP PRON ADV VERB ADV ADP VERB PRON PART
PRAGUE – The death of Eduard ~ Chuvashov, a judge killed in cold blood on April 12 in Moscow, is another in a long and growing list of murders perpetrated on those in Russia who try to seek justice for the victims of crimes – an essential task for the future development of the Russian society.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	PROPN PUNCT DET NOUN ADP PROPN PUNCT PROPN DET NOUN VERB ADP ADJ NOUN ADP PROPN NUM ADP PROPN VERB DET ADP DET ADJ CCONJ VERB NOUN ADP NOUN VERB ADP DET ADP PROPN NOUN VERB PART VERB NOUN ADP DET NOUN ADP NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN
They were murdered in cold blood.	0 0 0 1 1 1	in cold blood	figurative	identical	PRON VERB VERB ADP ADJ NOUN
Few as they were, they might be sufficient, for the men in them would be seasoned seamen and raiders who would brawl for the love of it, on shipboard anywhere ; who would defend their own northern lands to the death, on land or on sea ; but who would never march south in cold blood to throw away life defending a foreigner's ground.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	in cold blood	figurative	identical	ADJ ADP PRON VERB PRON VERB VERB ADJ ADP DET NOUN ADP PRON VERB VERB VERB NOUN CCONJ NOUN NOUN VERB VERB ADP DET NOUN ADP PRON ADP NOUN ADV PUNCT NOUN VERB VERB ADJ ADJ ADJ NOUN ADP DET NOUN ADP NOUN CCONJ ADP NOUN PUNCT CCONJ NOUN VERB ADV VERB ADV ADP ADJ NOUN PART VERB PART NOUN VERB DET NOUN NOUN
