He says he is home and dry.	0 0 0 0 1 1 1	home and dry	figurative	identical	PRON VERB PRON VERB ADV CCONJ ADJ	▁He ▁says ▁he ▁is ▁home ▁and ▁dry .	0 0 0 0 1 1 1 1	PRON VERB PRON VERB ADV CCONJ ADJ ADJ
‘ Good God we 're home and dry.’	0 0 0 0 0 1 1 1	home and dry	figurative	dashes	PUNCT ADJ PROPN PRON VERB ADV CCONJ ADJ	▁ ‘ ▁Good ▁God ▁we ▁' re ▁home ▁and ▁dry . ’	0 0 0 0 0 0 0 1 1 1 1 1	PUNCT PUNCT ADJ PROPN PRON VERB VERB ADV CCONJ ADJ ADJ ADJ
‘ What with your clever copy, Nige's brilliant artwork and my own masterminding over the past couple of months, we 're home and dry — and air - conditioned!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	home and dry	figurative	identical	PUNCT NOUN ADP ADJ ADJ NOUN PROPN ADJ NOUN CCONJ ADJ ADJ NOUN ADP DET ADJ NOUN ADP NOUN PRON VERB ADV CCONJ ADJ PUNCT CCONJ NOUN PUNCT NOUN	▁ ‘ ▁What ▁with ▁your ▁clever ▁copy , ▁N ige ' s ▁brilliant ▁art work ▁and ▁my ▁own ▁master min d ing ▁over ▁the ▁past ▁couple ▁of ▁months , ▁we ▁' re ▁home ▁and ▁dry ▁ — ▁and ▁air ▁- ▁conditioned ! ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PUNCT PUNCT NOUN ADP ADJ ADJ NOUN NOUN PROPN PROPN PROPN PROPN ADJ NOUN NOUN CCONJ ADJ ADJ NOUN NOUN NOUN NOUN ADP DET ADJ NOUN ADP NOUN NOUN PRON VERB VERB ADV CCONJ ADJ PUNCT PUNCT CCONJ NOUN PUNCT NOUN NOUN NOUN
Although Kemira is not completely home and dry, the EC will find it virtually impossible not to find a solution to the problems it has recognised.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	home and dry	figurative	identical	ADP PROPN VERB ADV ADV ADV CCONJ ADJ DET PROPN VERB VERB PRON ADV ADJ ADV PART VERB DET NOUN ADP DET NOUN PRON VERB VERB	▁Although ▁Kem ira ▁is ▁not ▁completely ▁home ▁and ▁dry , ▁the ▁EC ▁will ▁find ▁it ▁virtual ly ▁impossible ▁not ▁to ▁find ▁a ▁solution ▁to ▁the ▁problems ▁it ▁has ▁recognised .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PROPN PROPN VERB ADV ADV ADV CCONJ ADJ ADJ DET PROPN VERB VERB PRON ADV ADV ADJ ADV PART VERB DET NOUN ADP DET NOUN PRON VERB VERB VERB
This is very popular in the country because upon the whole trade unions are unpopular, and therefore, if you can attach the consequences of your own actions ( for which you desire to transfer the blame to other people ) to somebody who is unpopular already and attribute it to him, you are almost certain to be home and dry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	home and dry	figurative	identical	DET VERB ADV ADJ ADP DET NOUN ADP ADP DET ADJ NOUN NOUN VERB ADJ CCONJ ADV ADP PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN PUNCT ADP ADJ PRON VERB PART VERB DET NOUN ADP ADJ NOUN PUNCT ADP NOUN NOUN VERB ADJ ADV CCONJ VERB PRON ADP PRON PRON VERB ADV ADJ PART VERB ADV CCONJ ADJ	▁This ▁is ▁very ▁popular ▁in ▁the ▁country ▁because ▁upon ▁the ▁whole ▁trade ▁unions ▁are ▁un popu lar , ▁and ▁therefore , ▁if ▁you ▁can ▁attach ▁the ▁consequences ▁of ▁your ▁own ▁actions ▁( ▁for ▁which ▁you ▁desire ▁to ▁transfer ▁the ▁blame ▁to ▁other ▁people ▁ ) ▁to ▁somebody ▁who ▁is ▁un popu lar ▁already ▁and ▁attribute ▁it ▁to ▁him , ▁you ▁are ▁almost ▁certain ▁to ▁be ▁home ▁and ▁dry .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET VERB ADV ADJ ADP DET NOUN ADP ADP DET ADJ NOUN NOUN VERB ADJ ADJ ADJ ADJ CCONJ ADV ADV ADP PRON VERB VERB DET NOUN ADP ADJ ADJ NOUN PUNCT ADP ADJ PRON VERB PART VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT ADP NOUN NOUN VERB ADJ ADJ ADJ ADV CCONJ VERB PRON ADP PRON PRON PRON VERB ADV ADJ PART VERB ADV CCONJ ADJ ADJ
I want to see Laverne home and dry, yet I don't want to carry on feeding passenger leeches a minute longer.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	home and dry	figurative	identical	PRON VERB PART VERB PROPN NOUN CCONJ VERB CCONJ PRON VERB VERB PART VERB PART NOUN NOUN VERB DET NOUN ADV	▁I ▁want ▁to ▁see ▁L avern e ▁home ▁and ▁dry , ▁yet ▁I ▁don ' t ▁want ▁to ▁carry ▁on ▁feeding ▁passenger ▁le e ches ▁a ▁minute ▁longer .	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PART VERB PROPN PROPN PROPN NOUN CCONJ VERB VERB CCONJ PRON VERB VERB VERB VERB PART VERB PART NOUN NOUN VERB VERB VERB DET NOUN ADV ADV
Joey Beauchamp cracked it in … and Oxford were home and dry at 2 - 0 …	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	home and dry	figurative	identical	PROPN PROPN VERB PRON PART PUNCT CCONJ PROPN VERB ADV CCONJ ADJ ADP NUM SYM NUM PUNCT	▁Jo ey ▁Beau ch amp ▁cracked ▁it ▁in ▁... ▁and ▁Oxford ▁were ▁home ▁and ▁dry ▁at ▁2 ▁- ▁0 ▁...	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB PRON PART PUNCT CCONJ PROPN VERB ADV CCONJ ADJ ADP NUM SYM NUM PUNCT
There's no way into the playground from the square and by the time you get round by the road, whoever it was will be home and dry.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	home and dry	figurative	dashes	ADV DET NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP DET NOUN PRON VERB ADV ADP DET NOUN NOUN PRON VERB VERB VERB ADV CCONJ ADJ	▁There ' s ▁no ▁way ▁into ▁the ▁play ground ▁from ▁the ▁square ▁and ▁by ▁the ▁time ▁you ▁get ▁round ▁by ▁the ▁road , ▁whoever ▁it ▁was ▁will ▁be ▁home ▁and ▁dry . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV ADV ADV DET NOUN ADP DET NOUN NOUN ADP DET NOUN CCONJ ADP DET NOUN PRON VERB ADV ADP DET NOUN NOUN NOUN PRON VERB VERB VERB ADV CCONJ ADJ ADJ ADJ
And when Chris Allen was upended in the area, United probably thought they were home and dry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	home and dry	figurative	identical	CCONJ ADV PROPN PROPN VERB ADJ ADP DET NOUN PROPN ADV VERB PRON VERB ADV CCONJ ADJ	▁And ▁when ▁Chr is ▁All en ▁was ▁up ended ▁in ▁the ▁area , ▁United ▁probably ▁thought ▁they ▁were ▁home ▁and ▁dry .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADV PROPN PROPN PROPN PROPN VERB ADJ ADJ ADP DET NOUN NOUN PROPN ADV VERB PRON VERB ADV CCONJ ADJ ADJ
Good finishing would have seen Town home and dry by half - time.	0 0 0 0 0 0 1 1 1 0 0 0 0	home and dry	figurative	identical	ADJ NOUN VERB VERB VERB PROPN ADV CCONJ ADJ ADP ADJ PUNCT NOUN	▁Good ▁finishing ▁would ▁have ▁seen ▁Town ▁home ▁and ▁dry ▁by ▁half ▁- ▁time .	0 0 0 0 0 0 1 1 1 0 0 0 0 0	ADJ NOUN VERB VERB VERB PROPN ADV CCONJ ADJ ADP ADJ PUNCT NOUN NOUN
Arsenal were home and dry.	0 0 1 1 1	home and dry	figurative	identical	PROPN VERB ADV CCONJ ADJ	▁Ar sen al ▁were ▁home ▁and ▁dry .	0 0 0 0 1 1 1 1	PROPN PROPN PROPN VERB ADV CCONJ ADJ ADJ
