More than one myth can be held ‘ in the mind’ at one and the same time.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	ADJ ADP NUM NOUN VERB VERB VERB PRON ADP DET NOUN ADP NUM CCONJ DET ADJ NOUN	▁More ▁than ▁one ▁my th ▁can ▁be ▁held ▁ ‘ ▁in ▁the ▁mind ’ ▁at ▁one ▁and ▁the ▁same ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	ADJ ADP NUM NOUN NOUN VERB VERB VERB PRON PRON ADP DET NOUN NOUN ADP NUM CCONJ DET ADJ NOUN NOUN
My own view is that the fate of working people, the trade unions and the Labour Party are one and the same and that any attempt to weaken links between us condemns us all to the same failure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADJ ADJ NOUN VERB ADP DET NOUN ADP VERB NOUN DET NOUN NOUN CCONJ DET PROPN PROPN VERB NUM CCONJ DET ADJ CCONJ ADP DET NOUN PART VERB NOUN ADP PRON VERB PRON DET ADP DET ADJ NOUN	▁My ▁own ▁view ▁is ▁that ▁the ▁fate ▁of ▁working ▁people , ▁the ▁trade ▁unions ▁and ▁the ▁Labour ▁Party ▁are ▁one ▁and ▁the ▁same ▁and ▁that ▁any ▁attempt ▁to ▁weaken ▁links ▁between ▁us ▁condemn s ▁us ▁all ▁to ▁the ▁same ▁failure .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN VERB ADP DET NOUN ADP VERB NOUN NOUN DET NOUN NOUN CCONJ DET PROPN PROPN VERB NUM CCONJ DET ADJ CCONJ ADP DET NOUN PART VERB NOUN ADP PRON VERB VERB PRON DET ADP DET ADJ NOUN NOUN
But when I concentrated on the postage - stamp - sized photographs bearing his name that had started to appear, I could no longer be certain that he and The Fat Controller were one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	CCONJ ADV PRON VERB ADP DET NOUN PUNCT NOUN PUNCT ADJ NOUN VERB ADJ NOUN ADJ VERB VERB PART VERB PRON VERB ADV ADV VERB ADJ ADP PRON CCONJ DET PROPN PROPN VERB NUM CCONJ DET ADJ	▁But ▁when ▁I ▁concentrated ▁on ▁the ▁post age ▁- ▁stamp ▁- ▁sized ▁photographs ▁bearing ▁his ▁name ▁that ▁had ▁started ▁to ▁appear , ▁I ▁could ▁no ▁longer ▁be ▁certain ▁that ▁he ▁and ▁The ▁Fat ▁Controller ▁were ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ ADV PRON VERB ADP DET NOUN NOUN PUNCT NOUN PUNCT ADJ NOUN VERB ADJ NOUN ADJ VERB VERB PART VERB VERB PRON VERB ADV ADV VERB ADJ ADP PRON CCONJ DET PROPN PROPN VERB NUM CCONJ DET ADJ ADJ
This effort on Nizan's part to promote orthodox sectarian communist party ideology within a bourgeois context found no greater expression than during the year he spent in Bourg - en - Bresse, when he was at one and the same time philosophy teacher at the Lycee Lalande and communist party candidate at the general election of 1932.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	DET NOUN ADP PROPN NOUN PART VERB ADJ ADJ ADJ NOUN NOUN ADP DET NOUN NOUN VERB DET ADJ NOUN ADP ADP DET NOUN PRON VERB ADP PROPN PUNCT ADP PUNCT PROPN ADV PRON VERB ADP NUM CCONJ DET ADJ NOUN NOUN NOUN ADP DET PROPN PROPN CCONJ ADJ NOUN NOUN ADP DET ADJ NOUN ADP NUM	▁This ▁effort ▁on ▁N iz an ' s ▁part ▁to ▁promote ▁o rthodox ▁sec t arian ▁communis t ▁party ▁ideolog y ▁within ▁a ▁ bourg eo is ▁context ▁found ▁no ▁greater ▁expression ▁than ▁during ▁the ▁year ▁he ▁spent ▁in ▁Bour g ▁- ▁en ▁- ▁Br esse , ▁when ▁he ▁was ▁at ▁one ▁and ▁the ▁same ▁time ▁philosophy ▁teacher ▁at ▁the ▁L y ce e ▁La land e ▁and ▁communis t ▁party ▁candidate ▁at ▁the ▁general ▁election ▁of ▁19 32 .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN PART VERB ADJ ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP DET NOUN NOUN NOUN NOUN NOUN VERB DET ADJ NOUN ADP ADP DET NOUN PRON VERB ADP PROPN PROPN PUNCT ADP PUNCT PROPN PROPN PROPN ADV PRON VERB ADP NUM CCONJ DET ADJ NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ ADJ ADJ NOUN NOUN ADP DET ADJ NOUN ADP NUM NUM NUM
I do think some formal education could start sooner, but I wouldn't want you or the listeners to think that nursery education and formal education are one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	PRON VERB VERB DET ADJ NOUN VERB VERB ADV CCONJ PRON VERB VERB PRON CCONJ DET NOUN PART VERB ADP NOUN NOUN CCONJ ADJ NOUN VERB NUM CCONJ DET ADJ	▁I ▁do ▁think ▁some ▁formal ▁education ▁could ▁start ▁sooner , ▁but ▁I ▁would n ' t ▁want ▁you ▁or ▁the ▁listen ers ▁to ▁think ▁that ▁nursery ▁education ▁and ▁formal ▁education ▁are ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB VERB DET ADJ NOUN VERB VERB ADV ADV CCONJ PRON VERB VERB VERB VERB VERB PRON CCONJ DET NOUN NOUN PART VERB ADP NOUN NOUN CCONJ ADJ NOUN VERB NUM CCONJ DET ADJ ADJ
Nature and God are identified, and are conceived as an infinite reality which exists both as an all comprehensive mind and as an infinitely extended physical system, and in other ways unknown to us, all these being different aspects of one and the same single reality.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	one and the same	figurative	identical	NOUN CCONJ PROPN VERB VERB CCONJ VERB VERB ADP DET ADJ NOUN ADJ VERB DET ADP DET DET ADJ NOUN CCONJ ADP DET ADV ADJ ADJ NOUN CCONJ ADP ADJ NOUN ADJ ADP PRON ADJ DET VERB ADJ NOUN ADP NUM CCONJ DET ADJ ADJ NOUN	▁Nature ▁and ▁God ▁are ▁identified , ▁and ▁are ▁conceived ▁as ▁an ▁in finite ▁reality ▁which ▁exists ▁both ▁as ▁an ▁all ▁comprehensive ▁mind ▁and ▁as ▁an ▁in finite ly ▁extended ▁physical ▁system , ▁and ▁in ▁other ▁ways ▁unknown ▁to ▁us , ▁all ▁these ▁being ▁different ▁aspects ▁of ▁one ▁and ▁the ▁same ▁single ▁reality .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	NOUN CCONJ PROPN VERB VERB VERB CCONJ VERB VERB ADP DET ADJ ADJ NOUN ADJ VERB DET ADP DET DET ADJ NOUN CCONJ ADP DET ADV ADV ADV ADJ ADJ NOUN NOUN CCONJ ADP ADJ NOUN ADJ ADP PRON PRON ADJ DET VERB ADJ NOUN ADP NUM CCONJ DET ADJ ADJ NOUN NOUN
Dr Robert Eisenman, whom we cited earlier, believes there may well have been close links between Simeon's family and the descendants of Jesus's — if, indeed, they were not one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	PROPN PROPN PROPN NOUN PRON VERB ADV VERB ADV VERB ADV VERB VERB ADJ NOUN ADP PROPN NOUN CCONJ DET NOUN ADP PROPN PUNCT ADP ADV PRON VERB ADV NUM CCONJ DET ADJ	▁Dr ▁Robert ▁Eisen man , ▁whom ▁we ▁cited ▁earlier , ▁believes ▁there ▁may ▁well ▁have ▁been ▁close ▁links ▁between ▁Simeon ' s ▁family ▁and ▁the ▁de scend ants ▁of ▁Jesus ' s ▁ — ▁if , ▁indeed , ▁they ▁were ▁not ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PROPN PROPN PROPN PROPN PROPN NOUN PRON VERB ADV ADV VERB ADV VERB ADV VERB VERB ADJ NOUN ADP PROPN PROPN PROPN NOUN CCONJ DET NOUN NOUN NOUN ADP PROPN PROPN PROPN PUNCT PUNCT ADP ADP ADV ADV PRON VERB ADV NUM CCONJ DET ADJ ADJ
Here again two conflicting conventions grew up and were in use at one and the same time in the medieval England of the eleventh and twelfth centuries.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADV ADV NUM ADJ NOUN VERB PART CCONJ VERB ADP NOUN ADP NUM CCONJ DET ADJ NOUN ADP DET ADJ PROPN ADP DET ADJ CCONJ ADJ NOUN	▁Here ▁again ▁two ▁conflict ing ▁conventions ▁grew ▁up ▁and ▁were ▁in ▁use ▁at ▁one ▁and ▁the ▁same ▁time ▁in ▁the ▁med iev al ▁England ▁of ▁the ▁eleventh ▁and ▁twelfth ▁centuries .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV NUM ADJ ADJ NOUN VERB PART CCONJ VERB ADP NOUN ADP NUM CCONJ DET ADJ NOUN ADP DET ADJ ADJ ADJ PROPN ADP DET ADJ CCONJ ADJ NOUN NOUN
At one and the same time he seemed to accept every word and yet to be stricken with fear.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADP NUM CCONJ DET ADJ NOUN PRON VERB PART VERB DET NOUN CCONJ ADV PART VERB VERB ADP NOUN	▁At ▁one ▁and ▁the ▁same ▁time ▁he ▁seemed ▁to ▁accept ▁every ▁word ▁and ▁yet ▁to ▁be ▁ stricken ▁with ▁fear .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM CCONJ DET ADJ NOUN PRON VERB PART VERB DET NOUN CCONJ ADV PART VERB VERB VERB ADP NOUN NOUN
False clarity is only another name for myth ; and myth has always been obscure and enlightening at one and the same time : always using the devices of familiarity and straightforward dismissal to avoid the labour of conceptualization.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADJ NOUN VERB ADV DET NOUN ADP NOUN PUNCT CCONJ NOUN VERB ADV VERB ADJ CCONJ ADJ ADP NUM CCONJ DET ADJ NOUN PUNCT ADV VERB DET NOUN ADP NOUN CCONJ ADJ NOUN PART VERB DET NOUN ADP NOUN	▁F al se ▁clarity ▁is ▁only ▁another ▁name ▁for ▁my th ▁ ; ▁and ▁my th ▁has ▁always ▁been ▁obscure ▁and ▁enlighten ing ▁at ▁one ▁and ▁the ▁same ▁time ▁ : ▁always ▁using ▁the ▁devices ▁of ▁familiar ity ▁and ▁straightforward ▁dismissal ▁to ▁avoid ▁the ▁labour ▁of ▁conceptual ization .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ NOUN VERB ADV DET NOUN ADP NOUN NOUN PUNCT PUNCT CCONJ NOUN NOUN VERB ADV VERB ADJ CCONJ ADJ ADJ ADP NUM CCONJ DET ADJ NOUN PUNCT PUNCT ADV VERB DET NOUN ADP NOUN NOUN CCONJ ADJ NOUN PART VERB DET NOUN ADP NOUN NOUN NOUN
I was explaining that we had fallen in need of a housekeeper and an under - butler at one and the same time and Miss Kenton had arrived — with unusually good references, I recall — to take up the former post.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	PRON VERB VERB ADP PRON VERB VERB ADP NOUN ADP DET NOUN CCONJ DET ADJ PUNCT NOUN ADP NUM CCONJ DET ADJ NOUN CCONJ PROPN PROPN VERB VERB PUNCT ADP ADV ADJ NOUN PRON VERB PUNCT PART VERB PART DET ADJ NOUN	▁I ▁was ▁explain ing ▁that ▁we ▁had ▁fallen ▁in ▁need ▁of ▁a ▁house keeper ▁and ▁an ▁under ▁- ▁but ler ▁at ▁one ▁and ▁the ▁same ▁time ▁and ▁Miss ▁Kent on ▁had ▁arrived ▁ — ▁with ▁unusually ▁good ▁references , ▁I ▁recall ▁ — ▁to ▁take ▁up ▁the ▁former ▁post .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADP PRON VERB VERB ADP NOUN ADP DET NOUN NOUN CCONJ DET ADJ PUNCT NOUN NOUN ADP NUM CCONJ DET ADJ NOUN CCONJ PROPN PROPN PROPN VERB VERB PUNCT PUNCT ADP ADV ADJ NOUN NOUN PRON VERB PUNCT PUNCT PART VERB PART DET ADJ NOUN NOUN
