Sandy had given the boat a hefty kick before collapsing on the beach in stitches.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	dashes	PROPN VERB VERB DET NOUN DET ADJ NOUN ADP VERB ADP DET NOUN ADP PUNCT
I had your own two kiddies in stitches. "	0 0 0 0 0 0 1 1 0	in stitches	figurative	identical	PRON VERB ADJ ADJ NUM NOUN ADP NOUN PUNCT
In fact, Lynn Setterington's quilt, with its motifs sketched in tiny running stitches appeared to have more in common with the Bangladeshi Kantha tradition, or Northumbrian quilts, than the clothes of the British aristocracy.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	literal	insertion-other	ADP NOUN PROPN PROPN NOUN ADP ADJ NOUN VERB ADP ADJ VERB NOUN VERB PART VERB ADJ ADP ADJ ADP DET PROPN PROPN NOUN CCONJ ADJ NOUN ADP DET NOUN ADP DET ADJ NOUN
He has had the players in stitches over the past few weeks when we have relaxed after our training sessions at Lilleshall by having a game of pool.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	figurative	identical	PRON VERB VERB DET NOUN ADP NOUN ADP DET ADJ ADJ NOUN ADV PRON VERB VERB ADP ADJ NOUN NOUN ADP PROPN ADP VERB DET NOUN ADP NOUN
The sight of him also had her in stitches.	0 0 0 0 0 0 0 1 1	in stitches	figurative	identical	DET NOUN ADP PRON ADV VERB PRON ADP NOUN
Botham's pals were in stitches, but Lander was warned : ‘ You 'll go in the sea or an appropriate river before we get to Margate.’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	figurative	identical	PROPN NOUN VERB ADP NOUN CCONJ PROPN VERB VERB PUNCT PUNCT PRON VERB VERB ADP DET NOUN CCONJ DET ADJ NOUN ADP PRON VERB ADP NOUN
One knitter wanted just an ordinary pattern in stitch Pattern A, starting on R1.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	in stitches	literal	inflection	NUM NOUN VERB ADV DET ADJ NOUN ADP NOUN PROPN PROPN VERB ADP PROPN
The leaves and stems are in simple chain stitch.	0 0 0 0 0 1 0 0 1	in stitches	literal	combined-inflection	DET NOUN CCONJ VERB VERB ADP ADJ NOUN NOUN
His last two articles ‘ Baby Talk’ and ‘ Horse for Sale’really had me in stitches.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	in stitches	figurative	identical	ADJ ADJ NUM NOUN PART PROPN PROPN CCONJ NUM NOUN ADP ADV VERB PRON ADP NOUN
It had me in stitches a lot of the time and definitely wasn't just for the kids.’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in stitches	figurative	identical	PRON VERB PRON ADP NOUN DET NOUN ADP DET NOUN CCONJ ADV VERB ADV ADP DET NOUN
HAPPY Nicholas Brennan was in stitches at his wedding — after an emergency operation.	0 0 0 0 1 1 0 0 0 0 0 0 0 0	in stitches	figurative	identical	PROPN PROPN PROPN VERB ADP NOUN ADP ADJ NOUN PUNCT ADP DET NOUN NOUN
