They are also a way of injecting new blood into the Fair.	0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN	▁They ▁are ▁also ▁a ▁way ▁of ▁injecting ▁new ▁blood ▁into ▁the ▁Fair .	0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN PROPN
Both Mr Segni, who is 50, and Mr Orlando, who is 43, reproach their party for its inability to bring in new blood and fresh ideas.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	DET PROPN PROPN NOUN VERB NUM CCONJ PROPN PROPN NOUN VERB NUM VERB ADJ NOUN ADP ADJ NOUN PART VERB PART ADJ NOUN CCONJ ADJ NOUN	▁Both ▁Mr ▁S eg ni , ▁who ▁is ▁50 , ▁and ▁Mr ▁Or land o , ▁who ▁is ▁43, ▁reproach ▁their ▁party ▁for ▁its ▁in ability ▁to ▁bring ▁in ▁new ▁blood ▁and ▁fresh ▁ideas .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN NOUN VERB NUM NUM CCONJ PROPN PROPN PROPN PROPN PROPN NOUN VERB NUM VERB ADJ NOUN ADP ADJ NOUN NOUN PART VERB PART ADJ NOUN CCONJ ADJ NOUN NOUN
My biggest regret is that there 'll be no new blood keeping the spirit going.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	ADJ ADJ NOUN VERB ADP ADV VERB VERB DET ADJ NOUN VERB DET NOUN VERB	▁My ▁biggest ▁regret ▁is ▁that ▁there ▁' ll ▁be ▁no ▁new ▁blood ▁keeping ▁the ▁spirit ▁going .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	ADJ ADJ NOUN VERB ADP ADV VERB VERB VERB DET ADJ NOUN VERB DET NOUN VERB VERB
Scientists who reviewed ~ Folkman ’s grants said that the new blood vessels were simply due to inflammation.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	new blood	literal	identical	NOUN NOUN VERB PUNCT PROPN PART NOUN VERB ADP DET ADJ NOUN NOUN VERB ADV ADJ ADP NOUN	▁S cient ists ▁who ▁reviewed ▁ ~ ▁F ol k man ▁ ’ s ▁grants ▁said ▁that ▁the ▁new ▁blood ▁vessels ▁were ▁simply ▁due ▁to ▁inflammation .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN VERB PUNCT PUNCT PROPN PROPN PROPN PROPN PART PART PART NOUN VERB ADP DET ADJ NOUN NOUN VERB ADV ADJ ADP NOUN NOUN
The report confirms that younger academics appointed under the UGC's ‘ new blood’ scheme do better than average in obtaining research funds.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	new blood	figurative	dashes	DET NOUN VERB ADP ADJ NOUN VERB ADP DET PROPN PUNCT ADJ ADJ NOUN VERB ADJ ADP ADJ ADP VERB NOUN NOUN	▁The ▁report ▁confirms ▁that ▁younger ▁academic s ▁appointed ▁under ▁the ▁ UG C ' s ▁ ‘ ▁new ▁blood ’ ▁scheme ▁do ▁better ▁than ▁average ▁in ▁obtaining ▁research ▁funds .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADP ADJ NOUN NOUN VERB ADP DET PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT ADJ ADJ ADJ NOUN VERB ADJ ADP ADJ ADP VERB NOUN NOUN NOUN
No new blood had come into the affairs of de Chavigny for years : everywhere Edouard found stagnation and apathy.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN PROPN ADP NOUN PUNCT ADV PROPN VERB NOUN CCONJ NOUN	▁No ▁new ▁blood ▁had ▁come ▁into ▁the ▁affairs ▁of ▁de ▁Cha vig ny ▁for ▁years ▁ : ▁everywhere ▁E d ou ard ▁found ▁stagnation ▁and ▁a pathy .	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN ADP NOUN PUNCT PUNCT ADV PROPN PROPN PROPN PROPN VERB NOUN CCONJ NOUN NOUN NOUN
Meanwhile, the Royal Society has received more than 500 applications from scientists for its own 30 ‘ elite’ new blood fellowships.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	new blood	figurative	identical	ADV DET PROPN PROPN VERB VERB ADJ ADP NUM NOUN ADP NOUN ADP ADJ ADJ NUM NUM ADJ ADJ NOUN NOUN	▁Meanwhile , ▁the ▁Royal ▁Society ▁has ▁received ▁more ▁than ▁500 ▁applications ▁from ▁scientists ▁for ▁its ▁own ▁30 ▁ ‘ ▁e lite ’ ▁new ▁blood ▁fellow ships .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	ADV ADV DET PROPN PROPN VERB VERB ADJ ADP NUM NOUN ADP NOUN ADP ADJ ADJ NUM NUM NUM ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN
Celtic, whose results suggest an infusion of new blood would be no bad thing, have included Jamie McQuilken, a teenage left - back, in their squad to face Partick Thistle at Parkhead.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADJ ADJ NOUN VERB DET NOUN ADP ADJ NOUN VERB VERB DET ADJ NOUN VERB VERB PROPN PROPN DET ADJ VERB PUNCT NOUN ADP ADJ NOUN PART VERB PROPN PROPN ADP PROPN	▁Cel tic , ▁whose ▁results ▁suggest ▁an ▁infusion ▁of ▁new ▁blood ▁would ▁be ▁no ▁bad ▁thing , ▁have ▁included ▁J ami e ▁Mc Qu il ken , ▁a ▁te en age ▁left ▁- ▁back , ▁in ▁their ▁squa d ▁to ▁face ▁Part ick ▁This tle ▁at ▁Park head .	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ ADJ NOUN VERB DET NOUN ADP ADJ NOUN VERB VERB DET ADJ NOUN NOUN VERB VERB PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET ADJ ADJ ADJ VERB PUNCT NOUN NOUN ADP ADJ NOUN NOUN PART VERB PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN
The Treasury, where two ministers were election casualties, receives an infusion of new blood.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	DET PROPN ADV NUM NOUN VERB NOUN NOUN VERB DET NOUN ADP ADJ NOUN	▁The ▁Treasury , ▁where ▁two ▁ministers ▁were ▁election ▁casualties , ▁receives ▁an ▁infusion ▁of ▁new ▁blood .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	DET PROPN PROPN ADV NUM NOUN VERB NOUN NOUN NOUN VERB DET NOUN ADP ADJ NOUN NOUN
A spokeswoman said editor Peter Stothard wanted new blood to sharpen up coverage.	0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	DET NOUN VERB NOUN PROPN PROPN VERB ADJ NOUN PART VERB PART NOUN	▁A ▁spoke s woman ▁said ▁editor ▁Peter ▁St oth ard ▁wanted ▁new ▁blood ▁to ▁sharpen ▁up ▁coverage .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	DET NOUN NOUN NOUN VERB NOUN PROPN PROPN PROPN PROPN VERB ADJ NOUN PART VERB PART NOUN NOUN
It relies for new blood on people aggrieved by the state, and the move towards gloves - off repression that army backing for the coup represents will boost recruits.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB ADP ADJ NOUN ADP NOUN VERB ADP DET NOUN CCONJ DET NOUN ADP NOUN PUNCT PART NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB VERB NOUN	▁It ▁relies ▁for ▁new ▁blood ▁on ▁people ▁a gg rie ved ▁by ▁the ▁state , ▁and ▁the ▁move ▁towards ▁gloves ▁- ▁off ▁repression ▁that ▁army ▁backing ▁for ▁the ▁coup ▁represents ▁will ▁boost ▁recruit s .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP ADJ NOUN ADP NOUN VERB VERB VERB VERB ADP DET NOUN NOUN CCONJ DET NOUN ADP NOUN PUNCT PART NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB VERB NOUN NOUN NOUN
