Blows in combat also suffer a -1 on the dice roll to hit.	0 0 0 0 0 0 0 1 0 0 1 0 0	on a roll	literal	combined-other	NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN PART VERB	▁B low s ▁in ▁combat ▁also ▁suffer ▁a ▁-1 ▁on ▁the ▁dic e ▁roll ▁to ▁hit .	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	NOUN NOUN NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN NOUN PART VERB VERB
An estimated 40,000 names on a revised electoral roll were reported to be suspect.	0 0 0 0 1 0 0 0 1 0 0 0 0 0	on a roll	literal	insertion-other	DET VERB NUM NOUN ADP DET VERB ADJ NOUN VERB VERB PART VERB ADJ	▁An ▁estimated ▁4 0,000 ▁names ▁on ▁a ▁revised ▁elector al ▁roll ▁were ▁reported ▁to ▁be ▁suspect .	0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0	DET VERB NUM NUM NOUN ADP DET VERB ADJ ADJ NOUN VERB VERB PART VERB ADJ ADJ
You should have said, you eat poppy seeds on rolls.	0 0 0 0 0 0 0 0 1 1	on a roll	literal	deletion-determiner	PRON VERB VERB VERB PRON VERB ADJ NOUN ADP NOUN	▁You ▁should ▁have ▁said , ▁you ▁eat ▁poppy ▁seeds ▁on ▁rolls .	0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB VERB VERB PRON VERB ADJ NOUN ADP NOUN NOUN
There were 166 pupils on the roll.	0 0 0 0 1 0 1	on a roll	literal	determiner-narrow	ADV VERB NUM NOUN ADP DET NOUN	▁There ▁were ▁166 ▁pupils ▁on ▁the ▁roll .	0 0 0 0 1 0 1 1	ADV VERB NUM NOUN ADP DET NOUN NOUN
Registers tend to be filled in, often to a pattern, sometimes in advance, whereas actual attendance, particularly in rural areas may be far more sporadic than indicated, while in certain communities ( as with nomads such as the Kenya Turkana or Moslem communities suspicious of the corrupting influence of western schools on their children ) it is not uncommon to find considerable numbers of pupils who are on the roll, but attend sporadically and unwillingly.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on a roll	literal	determiner-narrow	NOUN VERB PART VERB VERB ADV ADV ADP DET NOUN ADV ADP NOUN ADP ADJ NOUN ADV ADP ADJ NOUN VERB VERB ADV ADV ADJ ADP VERB ADP ADP ADJ NOUN PUNCT ADP ADP NOUN ADJ ADP DET PROPN PROPN CCONJ PROPN NOUN ADJ ADP DET VERB NOUN ADP ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB ADV ADJ PART VERB ADJ NOUN ADP NOUN NOUN VERB ADP DET NOUN CCONJ VERB ADV CCONJ ADV	▁Register s ▁tend ▁to ▁be ▁filled ▁in , ▁often ▁to ▁a ▁pattern , ▁sometimes ▁in ▁advance , ▁whereas ▁actual ▁attendance , ▁particularly ▁in ▁rural ▁areas ▁may ▁be ▁far ▁more ▁sp or a dic ▁than ▁indicated , ▁while ▁in ▁certain ▁communities ▁( ▁as ▁with ▁no mad s ▁such ▁as ▁the ▁Kenya ▁Tur kan a ▁or ▁Mos lem ▁communities ▁suspicious ▁of ▁the ▁corrupt ing ▁influence ▁of ▁ western ▁schools ▁on ▁their ▁children ▁ ) ▁it ▁is ▁not ▁uncommon ▁to ▁find ▁considerable ▁numbers ▁of ▁pupils ▁who ▁are ▁on ▁the ▁roll , ▁but ▁attend ▁sp or ad ically ▁and ▁unwilling ly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB PART VERB VERB ADV ADV ADV ADP DET NOUN NOUN ADV ADP NOUN NOUN ADP ADJ NOUN NOUN ADV ADP ADJ NOUN VERB VERB ADV ADV ADJ ADJ ADJ ADJ ADP VERB VERB ADP ADP ADJ NOUN PUNCT ADP ADP NOUN NOUN NOUN ADJ ADP DET PROPN PROPN PROPN PROPN CCONJ PROPN PROPN NOUN ADJ ADP DET VERB VERB NOUN ADP ADJ ADJ NOUN ADP ADJ NOUN PUNCT PUNCT PRON VERB ADV ADJ PART VERB ADJ NOUN ADP NOUN NOUN VERB ADP DET NOUN NOUN CCONJ VERB ADV ADV ADV ADV CCONJ ADV ADV ADV
IT ISN'T JUST THE brilliant new Twingo that says Renault is on a roll.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on a roll	figurative	identical	PRON VERB ADV DET ADJ ADJ PROPN ADJ VERB PROPN VERB ADP DET NOUN	▁IT ▁IS N ' T ▁ JUST ▁THE ▁brilliant ▁new ▁Twin go ▁that ▁says ▁Renault ▁is ▁on ▁a ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB VERB ADV ADV DET ADJ ADJ PROPN PROPN ADJ VERB PROPN VERB ADP DET NOUN NOUN
It is the only party on a roll.	0 0 0 0 0 1 0 1	on a roll	figurative	identical	PRON VERB DET ADJ NOUN ADP DET NOUN	▁It ▁is ▁the ▁only ▁party ▁on ▁a ▁roll .	0 0 0 0 0 1 0 1 1	PRON VERB DET ADJ NOUN ADP DET NOUN NOUN
If you are preparing a lecture on the roll, care must be taken to ensure that the ink is dry before winding on, or else the result will be disastrous.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	determiner-narrow	ADP PRON VERB VERB DET NOUN ADP DET NOUN NOUN VERB VERB VERB PART VERB ADP DET NOUN VERB ADJ ADP VERB PART CCONJ ADV DET NOUN VERB VERB ADJ	▁If ▁you ▁are ▁preparing ▁a ▁lecture ▁on ▁the ▁roll , ▁care ▁must ▁be ▁taken ▁to ▁ensure ▁that ▁the ▁in k ▁is ▁dry ▁before ▁winding ▁on , ▁or ▁else ▁the ▁result ▁will ▁be ▁disastrous .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB DET NOUN ADP DET NOUN NOUN NOUN VERB VERB VERB PART VERB ADP DET NOUN NOUN VERB ADJ ADP VERB PART PART CCONJ ADV DET NOUN VERB VERB ADJ ADJ
On the roll of a double the Squig moves the distance indicated but in an entirely random direction.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	ADP DET NOUN ADP DET ADJ DET PROPN VERB DET NOUN VERB CCONJ ADP DET ADV ADJ NOUN	▁On ▁the ▁roll ▁of ▁a ▁double ▁the ▁Squi g ▁moves ▁the ▁distance ▁indicated ▁but ▁in ▁an ▁entirely ▁random ▁direction .	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP DET ADJ DET PROPN PROPN VERB DET NOUN VERB CCONJ ADP DET ADV ADJ NOUN NOUN
I think if you 're on a roll you better go with the flow.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	on a roll	figurative	identical	PRON VERB ADP PRON VERB ADP DET NOUN PRON ADV VERB ADP DET NOUN	▁I ▁think ▁if ▁you ▁' re ▁on ▁a ▁roll ▁you ▁better ▁go ▁with ▁the ▁flow .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PRON VERB ADP PRON VERB VERB ADP DET NOUN PRON ADV VERB ADP DET NOUN NOUN
So, normally the boiler will malfunction on the D6 roll of a 6, but if the Steam Tank has sustained 1 wound it will malfunction on a 5 or 6, if it has 2 wounds it goes wrong on a 4, 5 or 6 and so on.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	CCONJ ADV DET NOUN VERB NOUN ADP DET NOUN NOUN ADP DET NUM CCONJ ADP DET PROPN PROPN VERB VERB NUM NOUN PRON VERB NOUN ADP DET NUM CCONJ NUM ADP PRON VERB NUM NOUN PRON VERB ADV ADP DET NUM NUM CCONJ NUM CCONJ ADV ADV	▁So , ▁normally ▁the ▁boiler ▁will ▁malfunction ▁on ▁the ▁D 6 ▁roll ▁of ▁a ▁6 , ▁but ▁if ▁the ▁Steam ▁Tank ▁has ▁sustained ▁1 ▁wound ▁it ▁will ▁malfunction ▁on ▁a ▁5 ▁or ▁6 , ▁if ▁it ▁has ▁2 ▁wound s ▁it ▁goes ▁wrong ▁on ▁a ▁4, ▁5 ▁or ▁6 ▁and ▁so ▁on .	0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ ADV DET NOUN VERB NOUN ADP DET NOUN NOUN NOUN ADP DET NUM NUM CCONJ ADP DET PROPN PROPN VERB VERB NUM NOUN PRON VERB NOUN ADP DET NUM CCONJ NUM NUM ADP PRON VERB NUM NOUN NOUN PRON VERB ADV ADP DET NUM NUM CCONJ NUM CCONJ ADV ADV ADV
By 1910 ) there were 155 pupils on the roll ; although this was only five more than that for which the original buildings had been designed, and there was now also the extra Sykes classroom, the Board of Education indicated that there was serious overcrowding and something would have to be done : the School fell considerably short of modern standards, and unless the Governors could provide suitable accommodation, the grant would not be paid after July 1915.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	determiner-narrow	ADP NUM PUNCT ADV VERB NUM NOUN ADP DET NOUN PUNCT ADP DET VERB ADV NUM ADJ ADP DET ADP ADJ DET ADJ NOUN VERB VERB VERB CCONJ ADV VERB ADV ADV DET ADJ PROPN NOUN DET PROPN ADP PROPN VERB ADP ADV VERB ADJ NOUN CCONJ NOUN VERB VERB PART VERB VERB PUNCT DET PROPN VERB ADV ADJ ADP ADJ NOUN CCONJ ADP DET PROPN VERB VERB ADJ NOUN DET NOUN VERB ADV VERB VERB ADP PROPN NUM	▁By ▁19 10 ▁ ) ▁there ▁were ▁155 ▁pupils ▁on ▁the ▁roll ▁ ; ▁although ▁this ▁was ▁only ▁five ▁more ▁than ▁that ▁for ▁which ▁the ▁original ▁buildings ▁had ▁been ▁designed , ▁and ▁there ▁was ▁now ▁also ▁the ▁extra ▁S yke s ▁class room , ▁the ▁Board ▁of ▁Education ▁indicated ▁that ▁there ▁was ▁serious ▁over crow d ing ▁and ▁something ▁would ▁have ▁to ▁be ▁done ▁ : ▁the ▁School ▁fell ▁considerably ▁short ▁of ▁modern ▁standards , ▁and ▁unless ▁the ▁Governors ▁could ▁provide ▁suitable ▁accommodation , ▁the ▁grant ▁would ▁not ▁be ▁paid ▁after ▁July ▁19 15 .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NUM PUNCT PUNCT ADV VERB NUM NOUN ADP DET NOUN PUNCT PUNCT ADP DET VERB ADV NUM ADJ ADP DET ADP ADJ DET ADJ NOUN VERB VERB VERB VERB CCONJ ADV VERB ADV ADV DET ADJ PROPN PROPN PROPN NOUN NOUN NOUN DET PROPN ADP PROPN VERB ADP ADV VERB ADJ NOUN NOUN NOUN NOUN CCONJ NOUN VERB VERB PART VERB VERB PUNCT PUNCT DET PROPN VERB ADV ADJ ADP ADJ NOUN NOUN CCONJ ADP DET PROPN VERB VERB ADJ NOUN NOUN DET NOUN VERB ADV VERB VERB ADP PROPN NUM NUM NUM
