Then once more out of the blue he said quietly, ‘ Are you elect?’	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV PUNCT VERB PRON ADJ	▁Then ▁once ▁more ▁out ▁of ▁the ▁blue ▁he ▁said ▁quiet ly , ▁ ‘ ▁Are ▁you ▁elect ? ’	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV ADV ADV PUNCT PUNCT VERB PRON ADJ ADJ ADJ
‘ Why should he suddenly have materialized out of the blue?’	0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	dashes	PUNCT ADV VERB PRON ADV VERB VERB ADP ADP DET NOUN	▁ ‘ ▁Why ▁should ▁he ▁suddenly ▁have ▁material ized ▁out ▁of ▁the ▁blue ? ’	0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT PUNCT ADV VERB PRON ADV VERB VERB VERB ADP ADP DET NOUN NOUN NOUN
‘ I was shocked when Scot Gemmill was brought in for me at the start of last season because it came out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PUNCT PRON VERB ADJ ADV PROPN PROPN VERB VERB PART ADP PRON ADP DET NOUN ADP ADJ NOUN ADP PRON VERB ADP ADP DET NOUN	▁ ‘ ▁I ▁was ▁shock ed ▁when ▁S cot ▁Gem mill ▁was ▁brought ▁in ▁for ▁me ▁at ▁the ▁start ▁of ▁last ▁season ▁because ▁it ▁came ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT PRON VERB ADJ ADJ ADV PROPN PROPN PROPN PROPN VERB VERB PART ADP PRON ADP DET NOUN ADP ADJ NOUN ADP PRON VERB ADP ADP DET NOUN NOUN
In his absence she 'd been as nervy as a wildcat, jumping a mile every time someone spoke to her or touched her on the shoulder, expecting him to turn up out of the blue as he 'd made a habit of doing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADP ADJ NOUN PRON VERB VERB ADV ADJ ADP DET NOUN VERB DET NOUN DET NOUN NOUN VERB ADP PRON CCONJ VERB PRON ADP DET NOUN VERB PRON PART VERB PART ADP ADP DET ADJ ADP PRON VERB VERB DET NOUN ADP VERB	▁In ▁his ▁absence ▁she ▁' d ▁been ▁as ▁ner vy ▁as ▁a ▁wild cat , ▁jump ing ▁a ▁ mile ▁every ▁time ▁someone ▁spoke ▁to ▁her ▁or ▁touched ▁her ▁on ▁the ▁shoulder , ▁expecting ▁him ▁to ▁turn ▁up ▁out ▁of ▁the ▁blue ▁as ▁he ▁' d ▁made ▁a ▁habit ▁of ▁doing .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN PRON VERB VERB VERB ADV ADJ ADJ ADP DET NOUN NOUN NOUN VERB VERB DET NOUN NOUN DET NOUN NOUN VERB ADP PRON CCONJ VERB PRON ADP DET NOUN NOUN VERB PRON PART VERB PART ADP ADP DET ADJ ADP PRON VERB VERB VERB DET NOUN ADP VERB VERB
So there I am popping my tray next to his in the unit, when he says, right out of the blue, completely unprovoked, I haven't said anything —	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV PRON VERB VERB ADJ NOUN ADV ADP ADJ ADP DET NOUN ADV PRON VERB ADV ADP ADP DET ADJ ADV ADJ PRON VERB VERB NOUN PUNCT	▁So ▁there ▁I ▁am ▁p op ping ▁my ▁tray ▁next ▁to ▁his ▁in ▁the ▁unit , ▁when ▁he ▁says , ▁right ▁out ▁of ▁the ▁blue , ▁completely ▁un prov ok ed , ▁I ▁have n ' t ▁said ▁anything ▁ —	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB VERB VERB VERB ADJ NOUN ADV ADP ADJ ADP DET NOUN NOUN ADV PRON VERB VERB ADV ADP ADP DET ADJ ADJ ADV ADJ ADJ ADJ ADJ ADJ PRON VERB VERB VERB VERB VERB NOUN PUNCT PUNCT
News of her MBE ‘ for service to the nuclear industry’ came completely out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	NOUN ADP ADJ PROPN PUNCT ADP NOUN ADP DET NOUN PROPN VERB ADV ADP ADP DET NOUN	▁News ▁of ▁her ▁M BE ▁ ‘ ▁for ▁service ▁to ▁the ▁nuclear ▁industry ’ ▁came ▁completely ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	NOUN ADP ADJ PROPN PROPN PUNCT PUNCT ADP NOUN ADP DET NOUN PROPN PROPN VERB ADV ADP ADP DET NOUN NOUN
Er indeed the directive was promulgated as the minister said but I don't think it was a bolt out of the blue, it was of course something that we around for some considerable time before that and of course that excuse hardly applies to the delay in establishing the European parliamentary constituency committees, er as the minister er will know very well, it was merely a matter of seven weeks, er the excuse being that had they had another seven weeks they could have had the public inquiry stage, the reality of course was that there was plenty of time to do this in good time and in good order and without the confusion that exists now er around the candidatures and the boundaries of the existing European boundaries.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	INTJ ADV DET NOUN VERB VERB ADP DET NOUN VERB CCONJ PRON VERB VERB PRON VERB DET NOUN ADP ADP DET ADJ PRON VERB ADV NOUN NOUN ADJ PRON ADV ADP DET ADJ NOUN ADP DET CCONJ ADP NOUN DET NOUN ADV VERB ADP DET NOUN ADP VERB DET ADJ ADJ NOUN NOUN INTJ ADP DET NOUN INTJ VERB VERB ADV ADV PRON VERB ADV DET NOUN ADP NUM NOUN INTJ DET NOUN VERB ADJ VERB PRON VERB DET NUM NOUN PRON VERB VERB VERB DET ADJ NOUN NOUN DET NOUN ADP NOUN VERB ADP ADV VERB NOUN ADP NOUN PART VERB DET ADP ADJ NOUN CCONJ ADP ADJ NOUN CCONJ ADP DET NOUN ADJ VERB ADV INTJ ADP DET NOUN CCONJ DET NOUN ADP DET VERB ADJ NOUN	▁Er ▁indeed ▁the ▁directive ▁was ▁pro mu lg ated ▁as ▁the ▁minister ▁said ▁but ▁I ▁don ' t ▁think ▁it ▁was ▁a ▁bolt ▁out ▁of ▁the ▁blue , ▁it ▁was ▁of ▁course ▁something ▁that ▁we ▁around ▁for ▁some ▁considerable ▁time ▁before ▁that ▁and ▁of ▁course ▁that ▁excuse ▁hardly ▁applies ▁to ▁the ▁delay ▁in ▁establishing ▁the ▁European ▁parliamentary ▁constituency ▁committees , ▁er ▁as ▁the ▁minister ▁er ▁will ▁know ▁very ▁well , ▁it ▁was ▁mere ly ▁a ▁matter ▁of ▁seven ▁weeks , ▁er ▁the ▁excuse ▁being ▁that ▁had ▁they ▁had ▁another ▁seven ▁weeks ▁they ▁could ▁have ▁had ▁the ▁public ▁inquiry ▁stage , ▁the ▁reality ▁of ▁course ▁was ▁that ▁there ▁was ▁plenty ▁of ▁time ▁to ▁do ▁this ▁in ▁good ▁time ▁and ▁in ▁good ▁order ▁and ▁without ▁the ▁confusion ▁that ▁exists ▁now ▁er ▁around ▁the ▁candid ature s ▁and ▁the ▁boundaries ▁of ▁the ▁existing ▁European ▁boundaries .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ ADV DET NOUN VERB VERB VERB VERB VERB ADP DET NOUN VERB CCONJ PRON VERB VERB VERB VERB PRON VERB DET NOUN ADP ADP DET ADJ ADJ PRON VERB ADV NOUN NOUN ADJ PRON ADV ADP DET ADJ NOUN ADP DET CCONJ ADP NOUN DET NOUN ADV VERB ADP DET NOUN ADP VERB DET ADJ ADJ NOUN NOUN NOUN INTJ ADP DET NOUN INTJ VERB VERB ADV ADV ADV PRON VERB ADV ADV DET NOUN ADP NUM NOUN NOUN INTJ DET NOUN VERB ADJ VERB PRON VERB DET NUM NOUN PRON VERB VERB VERB DET ADJ NOUN NOUN NOUN DET NOUN ADP NOUN VERB ADP ADV VERB NOUN ADP NOUN PART VERB DET ADP ADJ NOUN CCONJ ADP ADJ NOUN CCONJ ADP DET NOUN ADJ VERB ADV INTJ ADP DET NOUN NOUN NOUN CCONJ DET NOUN ADP DET VERB ADJ NOUN NOUN
It occurred to him, out of the blue, that Maxham was physically inconsistent : the fleshy face didn't fit the skinny body.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB ADP PRON ADP ADP DET ADJ ADP PROPN VERB ADV ADJ PUNCT DET ADJ NOUN VERB VERB DET ADJ NOUN	▁It ▁occurred ▁to ▁him , ▁out ▁of ▁the ▁blue , ▁that ▁Max ham ▁was ▁physically ▁inconsistent ▁ : ▁the ▁flesh y ▁face ▁did n ' t ▁fit ▁the ▁skin ny ▁body .	0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON PRON ADP ADP DET ADJ ADJ ADP PROPN PROPN VERB ADV ADJ PUNCT PUNCT DET ADJ ADJ NOUN VERB VERB VERB VERB VERB DET ADJ ADJ NOUN NOUN
‘ It was’, he said ‘ right out of the blue.	0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PUNCT PRON NOUN PRON VERB PUNCT ADV ADP ADP DET NOUN	▁ ‘ ▁It ▁was ’ , ▁he ▁said ▁ ‘ ▁right ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT PRON NOUN NOUN NOUN PRON VERB PUNCT PUNCT ADV ADP ADP DET NOUN NOUN
How can I just ring her out of the blue and tell her that her daughter has married the first Italian she's met, without telling any of us?’	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV VERB PRON ADV VERB PRON ADP ADP DET ADJ CCONJ VERB PRON ADP ADJ NOUN VERB VERB DET ADJ PROPN PRON VERB ADP VERB DET ADP NOUN	▁How ▁can ▁I ▁just ▁ring ▁her ▁out ▁of ▁the ▁blue ▁and ▁tell ▁her ▁that ▁her ▁daughter ▁has ▁married ▁the ▁first ▁Italian ▁she ' s ▁met , ▁without ▁telling ▁any ▁of ▁us ? ’	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB PRON ADV VERB PRON ADP ADP DET ADJ CCONJ VERB PRON ADP ADJ NOUN VERB VERB DET ADJ PROPN PRON PRON PRON VERB VERB ADP VERB DET ADP NOUN NOUN NOUN
Salvation, finally, appeared out of the blue one night in the shape of up - and - coming young trainer Nigel Twiston - Davies.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	NOUN ADV VERB ADP ADP DET ADJ NUM NOUN ADP DET NOUN ADP ADV PUNCT CCONJ PUNCT VERB ADJ NOUN PROPN PROPN PUNCT PROPN	▁Salv ation , ▁finally , ▁appeared ▁out ▁of ▁the ▁blue ▁one ▁night ▁in ▁the ▁shape ▁of ▁up ▁- ▁and ▁- ▁coming ▁young ▁train er ▁Ni gel ▁T wi s ton ▁- ▁Da vie s .	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN ADV ADV VERB ADP ADP DET ADJ NUM NOUN ADP DET NOUN ADP ADV PUNCT CCONJ PUNCT VERB ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN
