and so oh you really rocked the boat	0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	CCONJ ADV INTJ PRON ADV VERB DET NOUN	▁and ▁so ▁ oh ▁you ▁really ▁rock ed ▁the ▁boat	0 0 0 0 0 0 1 1 0 1	CCONJ ADV INTJ INTJ PRON ADV VERB VERB DET NOUN
Then there is the inertia factor of the private shareholders who don't want to rock the boat at all.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	rock the boat	figurative	identical	ADV ADV VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN VERB VERB PART VERB DET NOUN ADP NOUN	▁Then ▁there ▁is ▁the ▁inertia ▁factor ▁of ▁the ▁private ▁shareholders ▁who ▁don ' t ▁want ▁to ▁rock ▁the ▁boat ▁at ▁all . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADV ADV VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN VERB VERB VERB VERB PART VERB DET NOUN ADP NOUN NOUN NOUN
‘ Under their previous director Graham Mather the IEA was anxious not to rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	PUNCT ADP ADJ ADJ NOUN PROPN PROPN DET PROPN VERB ADJ ADV PART VERB DET NOUN	▁ ‘ ▁Under ▁their ▁previous ▁director ▁Gra ham ▁M ather ▁the ▁I EA ▁was ▁anxious ▁not ▁to ▁rock ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT ADP ADJ ADJ NOUN PROPN PROPN PROPN PROPN DET PROPN PROPN VERB ADJ ADV PART VERB DET NOUN NOUN
I said from the outset that, in the eyes of the TCCB, the MCC and the International Cricket Council, the gouging of a cricket ball is a lesser crime than rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB ADP DET NOUN ADP ADP DET NOUN ADP DET PROPN DET PROPN CCONJ DET PROPN PROPN PROPN DET NOUN ADP DET NOUN NOUN VERB DET ADJ NOUN ADP VERB DET NOUN	▁I ▁said ▁from ▁the ▁outset ▁that , ▁in ▁the ▁eyes ▁of ▁the ▁T CC B , ▁the ▁M CC ▁and ▁the ▁International ▁C rick et ▁Council , ▁the ▁go ug ing ▁of ▁a ▁cri cke t ▁ball ▁is ▁a ▁lesser ▁crime ▁than ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB ADP DET NOUN ADP ADP ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN DET PROPN PROPN CCONJ DET PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN ADP DET NOUN NOUN NOUN NOUN VERB DET ADJ NOUN ADP VERB VERB DET NOUN NOUN
The ARC was defensive — its own existence being threatened by the Region administration, and was in no mood to rock the political boat by publishing a ' sensitive ' report, i.e. one which revealed the inadequacies of their own policies, and would incur the displeasure of the corporate investors in the region.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	insertion-other	DET PROPN VERB ADJ PUNCT ADJ ADJ NOUN VERB VERB ADP DET PROPN NOUN CCONJ VERB ADP DET NOUN PART VERB DET ADJ NOUN ADP VERB DET PUNCT ADJ PUNCT NOUN X NOUN ADJ VERB DET NOUN ADP ADJ ADJ NOUN CCONJ VERB VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN	▁The ▁ ARC ▁was ▁defensive ▁ — ▁its ▁own ▁existence ▁being ▁threatened ▁by ▁the ▁Region ▁administration , ▁and ▁was ▁in ▁no ▁mood ▁to ▁rock ▁the ▁political ▁boat ▁by ▁publishing ▁a ▁' ▁sensitive ▁' ▁report , ▁i . e . ▁one ▁which ▁revealed ▁the ▁inadequa cies ▁of ▁their ▁own ▁policies , ▁and ▁would ▁incur ▁the ▁dis ple a sure ▁of ▁the ▁corporate ▁investors ▁in ▁the ▁region .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN VERB ADJ PUNCT PUNCT ADJ ADJ NOUN VERB VERB ADP DET PROPN NOUN NOUN CCONJ VERB ADP DET NOUN PART VERB DET ADJ NOUN ADP VERB DET PUNCT ADJ PUNCT NOUN NOUN X X X X NOUN ADJ VERB DET NOUN NOUN ADP ADJ ADJ NOUN NOUN CCONJ VERB VERB DET NOUN NOUN NOUN NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN
There is a risk that people will become over cautious unwilling to rock the boat and upset others by taking on new ideas.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	ADV VERB DET NOUN ADP NOUN VERB VERB ADP ADJ ADJ PART VERB DET NOUN CCONJ VERB NOUN ADP VERB PART ADJ NOUN	▁There ▁is ▁a ▁risk ▁that ▁people ▁will ▁become ▁over ▁cautious ▁unwilling ▁to ▁rock ▁the ▁boat ▁and ▁upset ▁others ▁by ▁taking ▁on ▁new ▁ideas .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADV VERB DET NOUN ADP NOUN VERB VERB ADP ADJ ADJ PART VERB DET NOUN CCONJ VERB NOUN ADP VERB PART ADJ NOUN NOUN
Don't let's rock any boats. '	0 0 1 0 1 0	rock the boat	figurative	determiner-broad	VERB VERB VERB DET NOUN PUNCT	▁Don ' t ▁let ' s ▁rock ▁any ▁boats . ▁'	0 0 0 0 0 0 1 0 1 1 0	VERB VERB VERB VERB VERB VERB VERB DET NOUN NOUN PUNCT
USL, we know, is being careful not to rock the boat as far as Novell is concerned.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	rock the boat	figurative	identical	PROPN PRON VERB VERB VERB ADJ ADV PART VERB DET NOUN ADV ADV ADP PROPN VERB VERB	▁US L , ▁we ▁know , ▁is ▁being ▁careful ▁not ▁to ▁rock ▁the ▁boat ▁as ▁far ▁as ▁Nov ell ▁is ▁concerned .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PRON VERB VERB VERB VERB ADJ ADV PART VERB DET NOUN ADV ADV ADP PROPN PROPN VERB VERB VERB
I was still trying hard not to rock the boat, not to upset either the FO or WTN, and was desperate to find a way of making uncontroversial remarks sound interesting.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	PRON VERB ADV VERB ADV ADV PART VERB DET NOUN ADV PART VERB CCONJ DET PROPN CCONJ PROPN CCONJ VERB ADJ PART VERB DET NOUN ADP VERB ADJ NOUN VERB ADJ	▁I ▁was ▁still ▁trying ▁hard ▁not ▁to ▁rock ▁the ▁boat , ▁not ▁to ▁upset ▁either ▁the ▁ FO ▁or ▁W T N , ▁and ▁was ▁desperate ▁to ▁find ▁a ▁way ▁of ▁making ▁un cont r overs ial ▁remarks ▁sound ▁interesting .	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB ADV ADV PART VERB DET NOUN NOUN ADV PART VERB CCONJ DET PROPN PROPN CCONJ PROPN PROPN PROPN PROPN CCONJ VERB ADJ PART VERB DET NOUN ADP VERB ADJ ADJ ADJ ADJ ADJ NOUN VERB ADJ ADJ
We are represented by men hungry for high political office who will therefore not rock the party boat ; men whose loyalty is to their political careers, not necessarily their constituents ; men who know nothing of rural life, for why should they, nurtured as they were in towns or suburbs?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	insertion-other	PRON VERB VERB ADP NOUN ADJ ADP ADJ ADJ NOUN NOUN VERB ADV ADV VERB DET NOUN NOUN PUNCT NOUN ADJ NOUN VERB ADP ADJ ADJ NOUN ADV ADV ADJ NOUN PUNCT NOUN NOUN VERB NOUN ADP ADJ NOUN ADP ADV VERB PRON VERB ADP PRON VERB ADP NOUN CCONJ NOUN	▁We ▁are ▁represented ▁by ▁men ▁hungry ▁for ▁high ▁political ▁office ▁who ▁will ▁therefore ▁not ▁rock ▁the ▁party ▁boat ▁ ; ▁men ▁whose ▁loyalty ▁is ▁to ▁their ▁political ▁careers , ▁not ▁necessarily ▁their ▁constituents ▁ ; ▁men ▁who ▁know ▁nothing ▁of ▁rural ▁life , ▁for ▁why ▁should ▁they , ▁n urt ur ed ▁as ▁they ▁were ▁in ▁towns ▁or ▁suburbs ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP NOUN ADJ ADP ADJ ADJ NOUN NOUN VERB ADV ADV VERB DET NOUN NOUN PUNCT PUNCT NOUN ADJ NOUN VERB ADP ADJ ADJ NOUN NOUN ADV ADV ADJ NOUN PUNCT PUNCT NOUN NOUN VERB NOUN ADP ADJ NOUN NOUN ADP ADV VERB PRON PRON VERB VERB VERB VERB ADP PRON VERB ADP NOUN CCONJ NOUN NOUN
Rocking the boat Can Labour manage an open debate without tearing itself apart?	1 0 1 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	combined-inflection	VERB DET NOUN VERB PROPN VERB DET ADJ NOUN ADP VERB PRON ADV	▁Rock ing ▁the ▁boat ▁Can ▁Labour ▁manage ▁an ▁open ▁debate ▁without ▁tear ing ▁itself ▁apart ?	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET NOUN VERB PROPN VERB DET ADJ NOUN ADP VERB VERB PRON ADV ADV
