Yet of all the lame ducks I 've met or heard of, she's the lamest.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	lame duck	figurative	inflection	CCONJ ADP ADJ DET ADJ NOUN PRON VERB VERB CCONJ VERB ADP PRON DET ADJ
And, to mix a metaphor, France's lame ducks may have become an albatross around his neck.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lame duck	figurative	inflection	CCONJ PART VERB DET NOUN PROPN ADJ NOUN VERB VERB VERB DET NOUN ADP ADJ NOUN
But working near the top of the BBC is said to be a nightmare, with Checkland a lame - duck, Birt not speaking out and Hussey acting like an executive.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	CCONJ VERB ADP DET NOUN ADP DET PROPN VERB VERB PART VERB DET NOUN ADP PROPN DET ADJ PUNCT NOUN PROPN ADV VERB PART CCONJ PROPN VERB ADP DET NOUN
Will further funds be withdrawn and the company allowed to fail with loss of jobs, or will it be supported as a ‘ lame - duck’ reintroducing many of the industrial problems of the UK of the 1970s?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	VERB ADJ NOUN VERB VERB CCONJ DET NOUN VERB PART VERB ADP NOUN ADP NOUN CCONJ VERB PRON VERB VERB ADP DET PUNCT ADJ PUNCT PROPN VERB ADJ ADP DET ADJ NOUN ADP DET PROPN ADP DET NOUN
But before we jump to the conclusion that Pound had simply had a brainstorm, or had been trapped by misplaced compassion for Dunning as a lame duck, we ought to consider another possibility — that imagism, and Pound's endorsement of Ford's insistence on ‘ the prose tradition’, had never been for him more than an aberration, though in the short term a very profitable one, from a way of feeling that impelled him always toward the cantabile, a proclivity that would, in the interests of melody, tolerate notably eccentric diction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	CCONJ ADP PRON VERB ADP DET NOUN ADP NOUN VERB ADV VERB DET NOUN CCONJ VERB VERB VERB ADP ADJ NOUN ADP VERB ADP DET ADJ NOUN PRON VERB PART VERB DET NOUN PUNCT DET NOUN CCONJ PROPN NOUN ADP PROPN NOUN ADP PUNCT DET NOUN NOUN VERB ADV VERB ADP PRON ADJ ADP DET NOUN ADP ADP DET ADJ NOUN DET ADV ADJ NUM ADP DET NOUN ADP NOUN ADJ VERB PRON ADV ADP DET NOUN DET NOUN ADJ VERB ADP DET NOUN ADP NOUN VERB ADV ADJ NOUN
Watching balefully from afar was the party's ultimate, though lame - duck, boss, President Mitterrand.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	lame duck	figurative	dashes	VERB ADV ADP ADV VERB DET NOUN ADJ ADP ADJ PUNCT NOUN NOUN PROPN PROPN
Everybody knew he had become a lame duck.’	0 0 0 0 0 0 1 1	lame duck	figurative	dashes	NOUN VERB PRON VERB VERB DET NOUN ADP
There is no small irony in the fact that on November 15, America ’s lame duck president, the unilateralist George ~ W .~ Bush, is hosting a multilateral conference to discuss reshaping the global economic system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	identical	ADV VERB DET ADJ NOUN ADP DET NOUN ADP ADP PROPN NUM PROPN PART ADJ NOUN NOUN DET ADJ PROPN SYM PROPN PUNCT PROPN VERB VERB DET ADJ NOUN PART VERB VERB DET ADJ ADJ NOUN
There are already too many question marks hanging over this Government and too many lame ducks in it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	lame duck	figurative	inflection	ADV VERB ADV ADV ADJ NOUN NOUN VERB ADP DET PROPN CCONJ ADV ADJ ADJ NOUN ADP PRON
He has also had to govern in a persistently difficult environment : a lame - duck president next door in the United ~ States, a severe economic downturn, and the legacy of corruption, negligence, and complicity handed down by his predecessors since 1968, when Mexico's old one - party political system began to crumble.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lame duck	figurative	dashes	PRON VERB ADV VERB PART VERB ADP DET ADV ADJ NOUN PUNCT DET ADJ PUNCT NOUN NOUN ADJ NOUN ADP DET PROPN PUNCT PROPN DET ADJ ADJ NOUN CCONJ DET NOUN ADP NOUN NOUN CCONJ NOUN VERB PART ADP ADJ NOUN ADP NUM ADV PROPN ADJ NUM PUNCT NOUN ADJ NOUN VERB PART VERB
Or no, don't tell me,’ she denied with a scowl every bit as horrible as her son's, ‘ he's adopted another blasted lame duck and has got him living here with him!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	lame duck	figurative	identical	CCONJ INTJ VERB VERB NUM PRON VERB ADP DET NOUN DET NOUN ADV ADJ ADP ADJ NOUN PUNCT PRON VERB DET VERB ADJ NOUN CCONJ VERB VERB PRON VERB ADV ADP PRON
