They are also a way of injecting new blood into the Fair.	0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN
Both Mr Segni, who is 50, and Mr Orlando, who is 43, reproach their party for its inability to bring in new blood and fresh ideas.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	DET PROPN PROPN NOUN VERB NUM CCONJ PROPN PROPN NOUN VERB NUM VERB ADJ NOUN ADP ADJ NOUN PART VERB PART ADJ NOUN CCONJ ADJ NOUN
My biggest regret is that there 'll be no new blood keeping the spirit going.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	ADJ ADJ NOUN VERB ADP ADV VERB VERB DET ADJ NOUN VERB DET NOUN VERB
Scientists who reviewed ~ Folkman ’s grants said that the new blood vessels were simply due to inflammation.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	new blood	literal	identical	NOUN NOUN VERB PUNCT PROPN PART NOUN VERB ADP DET ADJ NOUN NOUN VERB ADV ADJ ADP NOUN
The report confirms that younger academics appointed under the UGC's ‘ new blood’ scheme do better than average in obtaining research funds.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	new blood	figurative	dashes	DET NOUN VERB ADP ADJ NOUN VERB ADP DET PROPN PUNCT ADJ ADJ NOUN VERB ADJ ADP ADJ ADP VERB NOUN NOUN
No new blood had come into the affairs of de Chavigny for years : everywhere Edouard found stagnation and apathy.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN PROPN ADP NOUN PUNCT ADV PROPN VERB NOUN CCONJ NOUN
Meanwhile, the Royal Society has received more than 500 applications from scientists for its own 30 ‘ elite’ new blood fellowships.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	new blood	figurative	identical	ADV DET PROPN PROPN VERB VERB ADJ ADP NUM NOUN ADP NOUN ADP ADJ ADJ NUM NUM ADJ ADJ NOUN NOUN
Celtic, whose results suggest an infusion of new blood would be no bad thing, have included Jamie McQuilken, a teenage left - back, in their squad to face Partick Thistle at Parkhead.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADJ ADJ NOUN VERB DET NOUN ADP ADJ NOUN VERB VERB DET ADJ NOUN VERB VERB PROPN PROPN DET ADJ VERB PUNCT NOUN ADP ADJ NOUN PART VERB PROPN PROPN ADP PROPN
The Treasury, where two ministers were election casualties, receives an infusion of new blood.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	DET PROPN ADV NUM NOUN VERB NOUN NOUN VERB DET NOUN ADP ADJ NOUN
A spokeswoman said editor Peter Stothard wanted new blood to sharpen up coverage.	0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	DET NOUN VERB NOUN PROPN PROPN VERB ADJ NOUN PART VERB PART NOUN
It relies for new blood on people aggrieved by the state, and the move towards gloves - off repression that army backing for the coup represents will boost recruits.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB ADP ADJ NOUN ADP NOUN VERB ADP DET NOUN CCONJ DET NOUN ADP NOUN PUNCT PART NOUN ADP NOUN NOUN ADP DET NOUN VERB VERB VERB NOUN
Old university pecking order draws new blood	0 0 0 0 0 1 1	new blood	figurative	identical	ADJ NOUN VERB NOUN VERB ADJ NOUN
Chairman Dick Corden, looking for new blood on the board, said : ‘ I 'll be happy to finish fifth from bottom.’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN PROPN VERB ADP ADJ NOUN ADP DET NOUN VERB PUNCT PUNCT PRON VERB VERB ADJ PART VERB ADV ADP NOUN
With 800–900 of Switzerland's 2300 professors due to retire before the end of the decade, the Swiss have taken a leaf out of Britain's book and set up a scheme for appointing ‘ new blood’ assistant professors at the rate of 300 in each of the next two four - year planning periods.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	dashes	ADP NUM ADP PROPN NUM NOUN ADP ADP NOUN ADP DET NOUN ADP DET NOUN DET PROPN VERB VERB DET NOUN ADP ADP PROPN NOUN CCONJ VERB PART DET NOUN ADP VERB ADJ ADJ ADJ NOUN NOUN ADP DET NOUN ADP NUM ADP DET ADP DET ADJ NUM NUM PUNCT NOUN NOUN NOUN
They will be much better against Australia, and some new blood will be inevitable.	0 0 0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB VERB ADV ADJ ADP PROPN CCONJ DET ADJ NOUN VERB VERB ADJ
That's why I need some new blood in the design department.	0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	DET ADV PRON VERB DET ADJ NOUN ADP DET NOUN NOUN
But it needed new blood.	0 0 0 1 1	new blood	figurative	identical	CCONJ PRON VERB ADJ NOUN
Speaking of luck, there's a colt I want to buy not far from Lexington — came up for sale just when I was thinking of getting in some new blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	VERB ADP NOUN ADV DET NOUN PRON VERB PART VERB ADV ADV ADP PROPN PUNCT VERB PART ADP NOUN ADV ADV PRON VERB VERB ADP VERB ADP DET ADJ NOUN
The business was in need of new blood, he had a widowed mother to consider, and his lineage through Nathan, Lyon and Lazarus claimed priestly — not to say professional — satisfaction.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET NOUN VERB ADP NOUN ADP ADJ NOUN PRON VERB DET VERB NOUN PART VERB CCONJ ADJ NOUN ADP PROPN PROPN CCONJ PROPN VERB ADV PUNCT ADV PART VERB ADJ PUNCT NOUN
These more remote areas were ‘ dying’ agriculturally as they could neither keep the present generation nor attract ‘ new blood’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	dashes	DET ADV ADJ NOUN VERB PUNCT NOUN ADV ADP PRON VERB CCONJ VERB DET ADJ NOUN CCONJ VERB ADJ ADJ NOUN
‘ It's good to get new blood as it gives us more spark.’	0 0 0 0 0 1 1 0 0 0 0 0 0	new blood	figurative	identical	PUNCT PRON ADJ PART VERB ADJ NOUN ADP PRON VERB PRON ADJ NOUN
As noted earlier, a number of attempts have been made to overcome the problems of those early days On more than one occasion " new blood " has been introduced in the form of teachers and others who were thought by the panel to have something to offer in fields with which the project was concerned.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP VERB ADV DET NOUN ADP NOUN VERB VERB VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP ADJ ADP NUM NOUN PUNCT ADJ NOUN PUNCT VERB VERB VERB ADP DET NOUN ADP NOUN CCONJ NOUN NOUN VERB VERB ADP DET NOUN PART VERB NOUN PART VERB ADP NOUN ADP ADJ DET NOUN VERB VERB
Three state art academies ensure the necessary supply of creative new blood.	0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	NUM NOUN NOUN NOUN VERB DET ADJ NOUN ADP ADJ ADJ NOUN
Characterised by confusion over aims and changes of membership, the panel made a number of false starts and fresh starts with the injection of new blood to try to give more direction to its work.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	VERB ADP NOUN ADP NOUN CCONJ NOUN ADP NOUN DET NOUN VERB DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP DET NOUN ADP ADJ NOUN PART VERB PART VERB ADJ NOUN ADP ADJ NOUN
In 1927–8, however, the party was rejuvenated by an influx of new blood from a second generation of young intellectuals, on the one hand the Surrealists — Breton, Aragon, Eluard, Peret and Unik —and on the other, the Marxist " Philosophies " group comprising Politzer, Lefebvre, Nizan, Morhange and Guterman.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP NUM ADV DET NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP ADJ NOUN ADP DET NUM NOUN DET PROPN PUNCT PROPN PROPN PROPN PROPN CCONJ PROPN PROPN ADP DET ADJ DET ADJ PUNCT NOUN PUNCT NOUN VERB PROPN PROPN PROPN PROPN CCONJ PROPN
JIM Maxmin, Laura Ashley's ebullient new American chief executive, may be just the sort of new blood the company needs, but his transatlantic marketing speak sits uncomfortably with the brand's image.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN PROPN PROPN ADJ ADJ ADJ ADJ NOUN VERB VERB ADV DET NOUN ADP ADJ NOUN DET NOUN VERB CCONJ ADJ ADJ NOUN NOUN VERB ADV ADP DET NOUN NOUN
Still, it's a good thing from the hunt's point of view that new blood is coming along, surely?	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	ADV PRON DET ADJ NOUN ADP DET NOUN NOUN ADP NOUN ADP ADJ NOUN VERB VERB ADV ADV
Peter said that although fifth was a respectable position he felt the team was capable of pushing for the top spot and added the society was eager for new blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	figurative	identical	PROPN VERB ADP ADP ADJ VERB DET ADJ NOUN PRON VERB DET NOUN VERB ADJ ADP VERB ADP DET ADJ NOUN CCONJ VERB DET NOUN VERB ADJ ADP ADJ NOUN
And Douglas will retire soon, I think, so we can have new blood at the foreign office.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	CCONJ PROPN VERB VERB ADV PRON VERB ADV PRON VERB VERB ADJ NOUN ADP DET ADJ NOUN
The move was part of a radical ministerial reshuffle by John Major designed to bring new blood to the Government after the Conservative election victory.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET NOUN VERB NOUN ADP DET ADJ ADJ NOUN ADP PROPN PROPN VERB PART VERB ADJ NOUN ADP DET PROPN ADP DET ADJ NOUN NOUN
I feel that we need now new blood on the committee, and coupled with the fact that I 've done one one more year than the constitution says I should, I 'm not standing for reelection as Chairman.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB ADP PRON VERB ADV ADJ NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN ADP PRON VERB VERB NUM NUM ADJ NOUN ADP DET NOUN VERB PRON VERB PRON VERB ADV VERB ADP NOUN ADP PROPN
Fairies greatly value human babies as a means of introducing new blood to their dwindling race, so have been known to steal them and leave a useless object behind.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	NOUN ADV VERB ADJ NOUN ADP DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN NOUN ADV VERB VERB VERB PART VERB PRON CCONJ VERB DET ADJ NOUN ADV
Ylva would bring new blood and perhaps attract new funds to the zoo's breeding project.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN VERB VERB ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN NOUN NOUN
